Titel,Teaser,Datum,Link,Inhalt
FPÖ-Hauser: Die Erhöhung der Mehrwertsteuer auf Übernachtungen war ein Anschlag auf den Tourismus - morgen müssen wir das reparieren!,Die ÖVP hat die Chance morgen die Erhöhung der MwSt. auf Übernachtungen zurückzunehmen!,2017-09-19T11:01:27+02:00,https://www.ots.at/presseaussendung/OTS_20170919_OTS0085/fpoe-hauser-die-erhoehung-der-mehrwertsteuer-auf-uebernachtungen-war-ein-anschlag-auf-den-tourismus-morgen-muessen-wir-das-reparieren,"Die ÖVP hat die Chance morgen die Erhöhung der MwSt. auf Übernachtungen zurückzunehmen!Utl.: Die ÖVP hat die Chance morgen die Erhöhung der MwSt. aufÜbernachtungen zurückzunehmen! =Wien (OTS) - „Die im Vorjahr eingeführte Erhöhung der Mehrwertsteuerfür Nächtigungen von 10 auf 13 Prozent war ein Anschlag auf denTourismus und den ländlichen Raum und muss rückgängig gemachtwerden“, fordert der freiheitliche Obmann des parlamentarischenTourismusausschusses, NAbg. Mag. Gerald Hauser.Jetzt sei die ÖVP am Zug, denn Sebastian kurz habe sich ja in einemInterview dafür ausgesprochen, die Erhöhung der MwSt. zurückzunehmen.Er, Hauser, sei schon gespannt darauf, ob sein Antrag dazu morgen imParlament eine Mehrheit finden werde. Bis heute hätten die SPÖ unddie Kurz-ÖVP dieses Ansinnen im Tourismusausschuss ja mehrfachabgelehnt. „Wird die Kurz-ÖVP mitstimmen oder hat der ÖVP-Chef nurleere Versprechungen gemacht?“, fragt Hauser. Allein heuer nehme derStaat durch die Mehrwertsteuer-Erhöhung auf Nächtigungen 250Millionen Euro mehr ein.„In vielen anderen EU-Staaten ist die Mehrwertsteuer bei Nächtigungenniedriger als in Österreich. In der Schweiz betrage sie nur 3,8Prozent, in Deutschland sei sie im Jahr 2010 von 19 auf siebenProzent gesenkt worden. In Italien und Frankreich betrage derMehrwertsteuersatz zehn Prozent. Jetzt gelte es die österreichischetourismuswirtschaft wieder konkurrenzfähig zu machen. Die ÖVP ist amZug!“, so Hauser.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖHauserTourismusMehrwertsteuerÖVPChannelPolitikWirtschaft"
FPÖ-Kickl: Brutalster Miethai Österreichs ist die Gemeinde Wien,Kosten- & Inflationstreiber sind die Wiener Abgaben und Gebühren – dazu kommen noch jede Menge dubioser Machenschaften von Amts wegen,2017-09-19T10:46:22+02:00,https://www.ots.at/presseaussendung/OTS_20170919_OTS0078/fpoe-kickl-brutalster-miethai-oesterreichs-ist-die-gemeinde-wien,"Kosten- & Inflationstreiber sind die Wiener Abgaben und Gebühren – dazu kommen noch jede Menge dubioser Machenschaften von Amts wegenUtl.: Kosten- & Inflationstreiber sind die Wiener Abgaben undGebühren – dazu kommen noch jede Menge dubioser Machenschaftenvon Amts wegen =Wien (OTS) - „Wenn Kanzler Kern kurz vor der Wahl entdeckt, dass dieMieten zu hoch sind, empfehle ich ihm ein klärendes Gespräch mitseinem SPÖ-Bürgermeister Häupl, denn die brutalsten Miethaie derRepublik sitzen im Wiener Magistrat“, sagte der freiheitlicheGeneralsekretär NAbg. Herbert Kickl. „Selbst alleine in Wien mehr als220.000 Gemeindewohnungen zu betreiben die zum Teil schwer überteuertsind, und sich dann über hohe Mieten zu beklagen, zeigt wie abgehobender SPÖ-Kanzler agiert“, zeigte Kickl auf.Dabei seien weniger die Mieten selbst die Kostentreiber, sondern dieexorbitant gestiegenen Gebühren, die in den Betriebskostenabgerechnet werden. So seien Müll-, Wasser-, Abwasser- sowie dieHausreinigungskosten in den vergangenen Jahren massiv nach obengegangen. Teilweise seien diese Abgaben um mehr als 50% überdeckelt,sodass man bereits von einer illegalen Stadtsteuer sprechen kann, soKickl. Die Mietkrise in Wien sei das Ergebnis einer völlig verfehltenWohnungspolitik der SPÖ. So seien ab dem Jahr 2000 überhaupt keineGemeindewohnungen errichtet worden und die neuen Gemeindebauprojekteerwecken eher den Eindruck von Prestigeprojekten für braveSchickeria-Parteigänger von Rot und Grün. Für die breite Masse werdehier jedenfalls nicht gebaut, betonte Kickl.Zu den überteuerten Wohnkosten in Wien kommen noch dubioseMachenschaften von Amts wegen, mit dem die Gemeindebaumieterabgezockt würden, so Kickl. Ein Punkt dabei seien etwa die falschvermessenen Wohnungen, die vor 1984 errichtet wurden. Bei diesenWohnungen sei das Planmass und nicht das Naturmass verwendet worden,was dazu geführt habe, dass im Schnitt rund 3 Prozent zu vielWohnfläche verrechnet werde. Und obwohl dieser Umstand seit Jahrenbekannt und ausjudiziert sei, werde die Stadt Wien in den seltenstenFällen aktiv und kassiere oftmals munter weiter die überhöhtenMieten, kritisierte Kickl.Wenn Kern also die Mieter entlasten wolle, dann müsse er dringend mitseinem SPÖ-Bürgermeister Häupl sprechen. Denn alleine bei den 220.000Gemeindewohnungen seien sofort deutliche Entlastungen möglich. „Undda haben wir noch nicht über die allesamt in SPÖ-Hand befindlichenWohnbaugenossenschaften gesprochen, die punkto Abzocke ihre Kollegenvon der Gemeinde in den Schatten stellen“, richtete Kickl demNoch-Kanzler aus.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖKicklMietenKostenWienChannelPolitikChronik"
FPÖ-Mölzer: Ministerium bestätigt schwarzen Postenschacher an HBLA Pitzelstätten,„Die neue Kurz-ÖVP nennt Packelei nun ‚Effizienzgebot‘“,2017-09-18T10:36:51+02:00,https://www.ots.at/presseaussendung/OTS_20170918_OTS0064/fpoe-moelzer-ministerium-bestaetigt-schwarzen-postenschacher-an-hbla-pitzelstaetten,"„Die neue Kurz-ÖVP nennt Packelei nun ‚Effizienzgebot‘“Wien (OTS) -„Statt Objektivität gilt bei der Kurz-ÖVP das Effizienzgebot, um ohne Skrupel Personalbesetzungen durchzupeitschen.“ Mit diesen Worten kommentierte heute der freiheitliche Bildungssprecher NAbg. Wendelin Mölzer die Aussagen einer Sprecherin des Bundesministeriums für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft in der gestrigen ‚Kleinen Zeitung‘. Die Sprecherin des Ministeriums begründete den Postenschacher gegenüber der ‚Kleinen Zeitung‘ damit, dass „ein Hearing in diesem Fall dem Effizienzgebot widersprochen hätte“. Weiters solle die neue Direktorin laut Kommission aufgrund von Qualifikation und Erfahrung die Kandidatin mit der höchsten Eignung gewesen sein.„Es mag wohl sein, dass die Direktorin die Anforderungen an die ausgeschriebene Stelle erfüllt hat, jedoch ist dies kein Argument dafür, dass kein Objektivierungsverfahren stattgefunden hat. Es soll dem Vernehmen nach mehrere Kandidaten gegeben haben, die sowohl die Qualifikation als auch die Erfahrung für den Direktorenposten mitgebracht hätten. Unter den fünf Bewerbern soll sogar ein amtierender Direktor einer Kärntner Landwirtschaftsschule gewesen sein. Solche Bewerber nicht zu einem Hearing einzuladen, kann wohl nicht mit den Argumenten Effizienzgebot, mangelnder Qualifikation und/oder Erfahrung gerechtfertigt werden“, stellte Mölzer fest.„Das Objektivierungsverfahren vor den Nationalratswahlen im Oktober durchzuführen, dürfte nicht möglich gewesen sein und so hat die ÖVP einfach ohne Objektivierung eine so wichtige Stelle nach ihren Vorstellungen besetzt“, sagte Mölzer, der einen sofortigen Stopp von solchen unseriösen Vorgehensweisen forderte.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖMölzerSchuleKärntenÖVPBildungChannelPolitik"
FPÖ-Mölzer fordert umgehende Konsequenzen an HTL Ferlach und im Landesschulrat Kärnten,"Schaden für HTL Ferlach ist Schuld jener, die Missstände verursachen und nicht jener, die sie aufzeigen – Direktorin suspendieren, Landesschulratspräsident rücktrittsreif!",2017-09-16T09:42:22+02:00,https://www.ots.at/presseaussendung/OTS_20170916_OTS0010/fpoe-moelzer-fordert-umgehende-konsequenzen-an-htl-ferlach-und-im-landesschulrat-kaernten,"Schaden für HTL Ferlach ist Schuld jener, die Missstände verursachen und nicht jener, die sie aufzeigen – Direktorin suspendieren, Landesschulratspräsident rücktrittsreif!Utl.: Schaden für HTL Ferlach ist Schuld jener, die Missständeverursachen und nicht jener, die sie aufzeigen – Direktorinsuspendieren, Landesschulratspräsident rücktrittsreif! =Wien (OTS) - „Natürlich kommen die anonymen Hinweise und Anzeigenbezüglich der Missstände aus der HTL Ferlach selbst, HerrAltersberger! Woher denn sonst?“, kommentierte der freiheitlicheBildungssprecher NAbg. Wendelin Mölzer die Aussage des Präsidentendes Landesschulrates für Kärnten, wonach dieser eine Art„Verschwörung“ erkennen will. „Schließlich scheint es an der HTLFerlach tatsächlich eine Vielzahl von Missständen zu geben, wie nichtnur aus zahlreichen Schreiben verschiedener, teils anonymer Absenderan alle Parlamentsparteien sowie an das Bildungsressort hervorgeht“,sagte der Abgeordnete.Wie aus dem Bildungsministerium zu hören sei, habe auch derLandesschulrat als mittelbare Schulaufsichtsbehörde rechtlicheMissstände, insbesondere in Sachen Italienisch-Unterricht, erkannt,jedoch rechtlich keine Konsequenzen gesetzt. „Zufällig ist dieDirektorin übrigens Italienisch-Lehrerin und zufällig wird ihr einegewisse Nähe zur SPÖ nachgesagt. Zufällig ist auch der Präsident desKärntner Landesschulrates von der SPÖ, und – ebenso zufällig – istauch der zuständige Landesschulinspektor mit besten Kontakten zur SPÖausgestattet. Bleibt nunmehr zu hoffen, dass die seit Mai 2017ermittelnde Staatsanwaltschaft nicht vor der roten Betonmauer Haltmacht“, sagte der freiheitliche Abgeordnete, der dabei auf eineAnfragebeantwortung des Justizministers verwies, wonach 13 Anzeigenzu entsprechenden nunmehr bereits fünf Monate andauerndenErmittlungsverfahren geführt haben.Der Versuch von Landesschulratspräsident Altersberger nun jene zudiskreditieren, die tatsächliche Missstände aufzeigen, anstatt selbstzu handeln und entsprechende Konsequenzen zu setzen, und dieDirektorin als „Mobbing-Opfer“ darzustellen, sei allzu billig unddurchschaubar. „Mit seinem Verhalten, sich wider besseres Wissen umrechtliche Missstände an der Schule demonstrativ hinter dieDirektorin zu stellen, anstatt diese – wie es meines Erachtensnotwendig wäre – umgehend bis zur Aufklärung aller Anschuldigungenvom Dienst freizustellen, macht Altersberger einerseits klar, dass esnur darum geht, einen roten Skandal zu vertuschen, andererseits wirder dadurch auch selbst rücktrittsreif“, hielt der freiheitlicheBildungssprecher fest.Einer der zentralen Vorwürfe gegen die Direktorin sei, dass seitgeraumer Zeit Italienisch ohne rechtliche Grundlage im ZweigIndustriedesign der HTL unterrichtet würde – das auf Kosten vontechnischen Stundeneinheiten, entgegen dem gesetzlichen Lehrplan. „Imschlimmsten Fall könnte laut Experten den Absolventen derIngenieurstitel verweigert werden. Dazu kommen Bedenken über einKolleg an der Schule sowie Anschuldigungen bezüglich einerangeblichen Überwachung von Lehrern, die Ausbootung und das Mobbinggegenüber fachlich renommierten Lehrern – alles keineKavaliersdelikte“, erklärte Mölzer noch einmal, worum es eigentlichgehe. „Wir werden im Sinne der Sache nicht ruhen, ehe all dieseAnschuldigungen aufgeklärt und Missstände abgestellt sind“, betonteder FPÖ-Bildungssprecher.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖMölzerSchuleBildungKärntenSPÖLandesschulratChannelPolitikChronik"
Kickl zum „Haus der Hubers“: FPÖ hat alle Lizenzbedingungen eingehalten,"Agentur hat Bilder zu prüfen, bevor sie diese zum Kauf anbietet",2017-09-15T14:42:08+02:00,https://www.ots.at/presseaussendung/OTS_20170915_OTS0169/kickl-zum-haus-der-hubers-fpoe-hat-alle-lizenzbedingungen-eingehalten,"Agentur hat Bilder zu prüfen, bevor sie diese zum Kauf anbietetWien (OTS) -Zu aktuellen Vorwürfen, die FPÖ habe in ihrer Videoserie „Die Hubers“ ein Haus gezeigt, ohne die Besitzer vorher zu fragen, hält FPÖ-Generalsekretär und Wahlkampfleiter Herbert Kickl fest: „Wir haben das Bild dieses Hauses von einer Bildagentur erworben und sämtliche Lizenzbedingungen bei der Verarbeitung und Verbreitung dieses Bildes genauestens eingehalten. Die FPÖ hätte nicht einmal die Möglichkeit gehabt, bei den Besitzern des Hauses nachzufragen, weil uns beim Kauf nicht bekannt war, wer diese Besitzer sind. Wir haben das selbst erst heute aus der Zeitung erfahren.“Man dürfe davon ausgehen, dass eine Bildagentur bei der Prüfung, ob ein bestimmtes Bild durch sie verkauft werden darf, entsprechende Sorgfalt an den Tag lege. „Insbesondere ist die FPÖ selbstverständlich davon ausgegangen, dass das Foto dieses Hauses mit dem Wissen der Eigentümer angeboten wird“, so Kickl. Sollte dieses Bild tatsächlich ohne Wissen oder gar gegen den Willen der Besitzer über die Agentur angeboten worden sein, so liege die Schuld dafür bei der Agentur und allenfalls beim Fotografen, sicherlich jedoch nicht bei der FPÖ als Kunde, der sich peinlich genau an alle Vertragsbedingungen gehalten habe.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖKicklVideoHubersChannelPolitik"
"FPÖ: ERINNERUNG: FAIRNESS-TOUR 2017 - Bundeswahlauftakt am Samstag,16. September, mit HC Strache und Manfred Haimbuchner in Wels",Wien (OTS) - Hiermit laden wir die Kolleginnen und Kollegen der Medien zu folgendem Termin ein:,2017-09-15T13:08:46+02:00,https://www.ots.at/presseaussendung/OTS_20170915_OTS0140/fpoe-erinnerung-fairness-tour-2017-bundeswahlauftakt-am-samstag16-september-mit-hc-strache-und-manfred-haimbuchner-in-wels,"Wien (OTS) - Hiermit laden wir die Kolleginnen und Kollegen derMedien zu folgendem Termin ein:FAIRNESS-Tour 2017 – B U N D E S W A H L A U F T A K Tmit FPÖ-Bundesparteiobmann Klubobmann NAbg. HC STRACHEund FPÖ-Landesparteiobmann LH-Stv. Dr. Manfred HAIMBUCHNERDatum: Samstag, 16. September 2017Ort: 4600 Wels, Messeplatz 1, Halle 21Programm:09.30 Uhr: John Otti Band10.30 Uhr: Rede LH-Stv. Dr. Manfred Haimbuchner10.40 Uhr: Präsentation Kandidatenteam11.00 Uhr: Rede Bundesparteiobmann Klubobmann NAbg. HC STRACHEHinweis für die TV-Redaktionen: fixe Standplätze für TV-Kameras ca.20 Meter von Bühne entfernt.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖStracheNR-WahlenOberösterreichTerminChannelPolitikChronik"
FPÖ-Mölzer fordert die Einrichtung einer Polizeiinspektion am Hauptbahnhof Villach,"„Plötzliche SPÖ-Forderung ist eine Verhöhnung der Bürger, da diese selbst bei der Polizeipostenschließung mitgestimmt hat!“",2017-09-15T12:23:35+02:00,https://www.ots.at/presseaussendung/OTS_20170915_OTS0119/fpoe-moelzer-fordert-die-einrichtung-einer-polizeiinspektion-am-hauptbahnhof-villach,"„Plötzliche SPÖ-Forderung ist eine Verhöhnung der Bürger, da diese selbst bei der Polizeipostenschließung mitgestimmt hat!“Wien (OTS) -„Innenminister Sobotka soll am Villacher Hauptbahnhof wieder eine Polizeiinspektion einrichten! Die Sicherheit der Bürger ist eines der höchsten Güter unserer Gesellschaft. Besonders in Zeiten, in denen durch die unkontrollierte und illegale Migration an neuralgischen Punkten die Kriminalität steigt, muss die Polizei mit entsprechender Präsenz zur Sicherheit der Bürger beitragen“, forderte heute der Villacher freiheitliche Nationalratsabgeordnete Wendelin Mölzer.„Vor kurzem hat die SPÖ-Nationalratskandidatin Irene Hochstetter-Lackner gefordert, dass am Villacher Hauptbahnhof wieder eine Polizeiinspektion errichtet werden soll. Die Forderung kommt etwas zu spät, denn schließlich hat die von der SPÖ geführte Bundesregierung die Schließung der Polizeiinspektion am Villacher Hauptbahnhof mitgetragen“, erklärte Mölzer.„Wenn der SPÖ wirklich daran gelegen ist, am Villacher Hauptbahnhof wieder eine Polizeiinspektion einzurichten, so wird sie sich bei Ihrem Juniorpartner in der Bundesregierung durchsetzen. Ansonsten kann die Forderung der SPÖ nur als Wahlkampfgeplänkel bezeichnet werden“, so Mölzer.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖMölzerSicherheitKärntenPolizeiChannelPolitikChronik"
FPÖ-Angerer/Mölzer: Schwarzer Postenschacher an HBLA Pitzelstätten?,„Direktorenbesetzung an der HBLA Pitzelstätten soll ohne Hearing durchgeführt worden sein“,2017-09-15T09:50:22+02:00,https://www.ots.at/presseaussendung/OTS_20170915_OTS0030/fpoe-angerermoelzer-schwarzer-postenschacher-an-hbla-pitzelstaetten,"„Direktorenbesetzung an der HBLA Pitzelstätten soll ohne Hearing durchgeführt worden sein“Wien (OTS) -„Wenn bei der Direktorenbesetzung an der HBLA Pitzelstätten kein Hearing der Bewerber stattgefunden hat, dann wäre dies ein weiterer Beleg dafür, dass die Kurz-ÖVP am alten Stil festhält. Als ‚Schwarzer Postenschacher‘ wäre dies zu betiteln!“, kommentierten heute die freiheitlichen Kärntner Nationalratsabgeordneten Erwin Angerer und Wendelin Mölzer die angeblichen Vorgänge bei der Direktorenbesetzung an der Höheren Bundeslehranstalt für Landwirtschaft und Ernährung Pitzelstätten.„Es soll für die besagte Direktorenstelle fünf Bewerber gegeben haben. Die fünf Bewerber sollen zu keinem Hearing und zu keinem Gespräch eingeladen worden sein. Im Vergleich dazu soll vor wenigen Monaten bei der Besetzung für eine Sekretariatsstelle an der besagten Dienststelle ein Auswahlverfahren durchgeführt worden sein, bei dem sich die 15 Bewerber u.a. in einem Gespräch vorgestellt haben sollen. Zu diesen Vorstellungsgesprächen soll damals ein hochrangiger Beamter des zuständigen Ministeriums (Bundesministerium für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft - BMLFUW) angereist sein. Ende August sollen die vier Bewerber, die bei der Direktorenbesetzung nicht zum Zug gekommen sind, eine schriftliche Absage des zuständigen Bundesministeriums erhalten haben. Sofern der genannte Sachverhalt korrekt ist, dürfte Minister Rupprechter vor den Wahlen im Oktober in Panik geraten sein, weshalb er noch schnell eine nicht objektive Direktorenbesetzung durchgepeitscht hat“, stellte der freiheitliche Bildungssprecher Mölzer fest.„Solche wichtigen Personalentscheidungen können ohne Hearing nicht seriös getroffen werden. Wenn bei der Besetzung einer Sekretariatsstelle ein hochrangiger Beamter aus Wien anreist, um ein Hearing unter den Bewerbern durchzuführen, dann wäre dies bei der Direktorenbesetzung auch angebracht“, sagte Angerer.Um die Vorgänge rund um die Personalbesetzung an der HBLA Pitzelstätten aufzuklären, werden Angerer und Mölzer eine entsprechende parlamentarische Anfrage an den Bundesminister für Land- und Forstwirtschaft, Umwelt und Wasserwirtschaft einbringen.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖMölzerAngererSchuleKärntenBildungChannelPolitik"
HC Strache: Ich sage es für euch – VIDEO,Neues FPÖ-Video thematisiert Fairness-Krise,2017-09-14T12:11:35+02:00,https://www.ots.at/presseaussendung/OTS_20170914_OTS0118/hc-strache-ich-sage-es-fuer-euch-video,"Neues FPÖ-Video thematisiert Fairness-KriseWien (OTS) -In einem neuen Video bringt die FPÖ die Fairness-Krise auf den Punkt. „Auch wenn es manchmal schwer ist, zu sagen, was man denkt, gerade wenn es um soziale Gerechtigkeit geht, müssen wir aufstehen und sagen: Das ist unfair!“, fasst FPÖ-Obmann und Spitzenkandidat HC Strache die zuvor im Video gezeigten Szenen zusammen. Darin wird auf humorvolle Weise gezeigt, wie wichtig es ist, auch unangenehme Wahrheiten auszusprechen.Die Wahlvideos der FPÖ erfreuen sich enormer Beliebtheit. Die zuletzt veröffentlichten beiden Folgen von „Die Hubers“ verzeichnen auf YouTube und Facebook zusammen bereits fast 5,5 Millionen Aufrufe.Hier der Link zum aktuellen Video „Ich sage es für euch“: https://youtu.be/eybiOECYPmUOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖStracheFairnessVideoChannelPolitik"
FPÖ-Mölzer: Lehrverpflichtung – Österreicher zuerst!,Kurz widerspricht sich mit seiner Forderung nach Migrantenlehrern selbst,2017-09-14T11:24:14+02:00,https://www.ots.at/presseaussendung/OTS_20170914_OTS0093/fpoe-moelzer-lehrverpflichtung-oesterreicher-zuerst,"Kurz widerspricht sich mit seiner Forderung nach Migrantenlehrern selbstUtl.: Kurz widerspricht sich mit seiner Forderung nachMigrantenlehrern selbst =Wien (OTS) - „Bevor Lehrer mit Migrationshintergrund bzw.Asylberechtigte als Lehrer eingestellt werden, sollten dieösterreichischen Bürger mit entsprechender Lehrerausbildung für eineLehrverpflichtung herangezogen werden. Ganz nach dem Grundsatz'Österreicher zuerst'!“, fordert der freiheitliche BildungssprecherNAbg. Wendelin Mölzer.""ÖVP-Spitzenkandidat Sebastian Kurz habe sich dafür ausgesprochen,dass Lehrer mit Migrationshintergrund vermehrt an Schulen eingesetztwerden sollen um bei der Integration behilflich zu sein. LautBildungsministerium stehen jedoch rund 4500 Pädagogen auf Wartelistenfür einen Lehrerposten! Warum hält es Sebastian Kurz also für nötig,Migranten Lehrerposten zu vermitteln?“, fragt Mölzer.Kurz widerspreche sich mit seiner Forderung zudem selbst, da er„einerseits eine Deutschpflicht vor dem regulären Schuleintrittfordert und andererseits Lehrer mit Migrationshintergrund einstellenwill um sprachliche Barrieren von Schülern auszumerzen“, so Mölzer.Auch der internationale OECD-Bericht befasst sich mit derLehrersituation in Österreich. Demnach liege Österreich beimDurchschnittsalter der Lehrer im oberen Bereich. „Eine Aufwertungdes Pädagogenberufs, sowie der von uns Freiheitlichen geforderteeinfachere Erwerb der Lehrberechtigung für Quereinsteiger könntenhier eine Lösung sein. Letztendlich muss der Lehrerberuf für diebestmöglich geeigneten Persönlichkeiten attraktiv gestaltet werden umdie Qualität der heimischen Bildung zu steigern“, so Mölzer.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FPKprintRückfragen & KontaktFreiheitlicher Parlamentsklub01/ 40 110 - 7012presse-parlamentsklub@fpoe.athttp://www.fpoe-parlamentsklub.athttp://www.fpoe.atStichworteFPÖMölzerBildungKurzMigrantenChannelPolitik"
