Titel,Teaser,Datum,Link,Inhalt
Vizekanzler Strache kritisiert Gründung einer kosovarischen Armee,"Wien (OTS) - Österreichs Vizekanzler Heinz-Christian Strache übte heute scharfe Kritik am Beschluss des kosovarischen Parlaments, eine eigene Armee zu gründen. Laut UNO-Resolution 1244 habe der Kosovo auch kein...",2018-12-14T14:04:03+01:00,https://www.ots.at/presseaussendung/OTS_20181214_OTS0133/vizekanzler-strache-kritisiert-gruendung-einer-kosovarischen-armee,"Wien (OTS) - Österreichs Vizekanzler Heinz-Christian Strache übteheute scharfe Kritik am Beschluss des kosovarischen Parlaments, eineeigene Armee zu gründen. Laut UNO-Resolution 1244 habe der Kosovoauch kein Recht auf eine Armee. Strache verwies in diesemZusammenhang auch auf die Aussagen von NATO-Generalsekretär JensStoltenberg, der diesen Schritt Kosovos ausdrücklich bedauerte.Der Vizekanzler befürchtet, dass dieses Vorgehen nun zu einerweiteren Destabilisierung der Region führen werde. Es handle sich umeinen weiteren Alleingang Kosovos wie zuvor schon bei der Anhebungder Zölle auf serbische Waren auf 100 Prozent. Wenn Pristina weiterso agiere, isoliere es sich international. Für den Frieden auf demBalkan sei dies alles andere als förderlich.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖStracheVizekanzlerKosovoChannelPolitik"
Hafenecker/Nehammer: „Notstandshilfe wird als Versicherungsleistung ins Arbeitslosengeld NEU integriert“,"Wien (OTS) - Entgegen anderslautender heutiger Medienberichte stellen die Generalsekretäre von FPÖ und ÖVP, Christian Hafenecker und Karl Nehammer klar, dass die Notstandshilfe als Versicherungsleistung künftig...",2018-12-04T11:54:16+01:00,https://www.ots.at/presseaussendung/OTS_20181204_OTS0114/hafeneckernehammer-notstandshilfe-wird-als-versicherungsleistung-ins-arbeitslosengeld-neu-integriert,"Wien (OTS) - Entgegen anderslautender heutiger Medienberichte stellendie Generalsekretäre von FPÖ und ÖVP, Christian Hafenecker und KarlNehammer klar, dass die Notstandshilfe als Versicherungsleistungkünftig in das Arbeitslosengeld NEU integriert wird. Es wird eindegressiveres Modell geschaffen, wodurch derjenige, der längereBeitragszeiten erworben hat, auch länger und höher bezugsberechtigtist.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖÖVPHafeneckerNehammerNotstandshilfeChannelPolitikChronik"
Freiheitliche Jugend: Bundesseminar „Zeichen setzen“ war voller Erfolg,150 Jugendliche trafen sich in Oberösterreich zum Gedankenaustausch,2018-12-04T09:20:08+01:00,https://www.ots.at/presseaussendung/OTS_20181204_OTS0028/freiheitliche-jugend-bundesseminar-zeichen-setzen-war-voller-erfolg,"150 Jugendliche trafen sich in Oberösterreich zum GedankenaustauschUtl.: 150 Jugendliche trafen sich in Oberösterreich zumGedankenaustausch =Wien (OTS) - Bereits zum dritten Mal veranstaltete die FreiheitlicheJugend ein Bundesseminar im winterlich verschneiten Gosau inOberösterreich, das heuer unter dem Motto „Zeichen setzen“ wiederviele Mitglieder aus allen Bundesländern anlockte. Vom 30. Novemberbis zum 2. Dezember wurde diskutiert, weitergebildet und Geselligkeitgepflegt. Erfreut zeigten sich das Führungsduo der FreiheitlichenJugend, der Wiener Stadtrat Maximilian Krauss und Bundesrat MichaelRaml, über die zahlreiche Teilnahme aus ganz Österreich: „Mit über150 Teilnehmern ist die große Beteiligung wieder einmal der Beweis,wie breit die Freiheitliche Jugend in allen Gesellschaftsschichtenaufgestellt ist.“ Neben Themen wie Social Media und Rhetorik wurdenauch Seminare über Verhalten in Interviews und vor der Kameraangeboten. Abseits von politischen Inhalten waren eineFackelwanderung und ein Geselligkeitsabend die Höhepunkte einesereignisreichen Wochenendes.„Außerdem hat es uns sehr gefreut, den Wiener VizebürgermeisterDominik Nepp, den oberösterreichischen Landesrat Elmar Podgorschekund den zweiten Landtagspräsidenten aus Oberösterreich, AdalbertCramer, zu Kamingesprächen begrüßen zu können“, erklärten die beidenJungpolitiker. Ganz bewusst sei die Wahl des Mottos auf „Zeichensetzen“ gefallen, betonten die beiden: „Als die patriotischeJugendorganisation ist es uns ein besonderes Anliegen, junge Menschenzu kritischem Denken zu motivieren und sie dazu zu ermutigen, sichpolitisch zu engagieren. Politik soll sich nicht auf ältereGenerationen beschränken, denn vor allem junge Leute haben mit neuenIdeen großes Potential, Zeichen zu setzen.“OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖJugendFreiheitlicheJugendRamlKraussGesellschaftBevölkerungChannelPolitik"
Philippa Strache: „Neues Wiener Tierhaltegesetz ist eine Farce“,„Wiener Regelung (wenn man sie so bezeichnen mag) geht an den Bedürfnissen der Hunde und ihren Besitzern vorbei“,2018-11-30T14:27:14+01:00,https://www.ots.at/presseaussendung/OTS_20181130_OTS0185/philippa-strache-neues-wiener-tierhaltegesetz-ist-eine-farce,"„Wiener Regelung (wenn man sie so bezeichnen mag) geht an den Bedürfnissen der Hunde und ihren Besitzern vorbei“Utl.: „Wiener Regelung (wenn man sie so bezeichnen mag) geht an denBedürfnissen der Hunde und ihren Besitzern vorbei“ =Wien (OTS) - Als „Scheinlösung"" bezeichnete heute dieBundestierschutzbeauftragte der FPÖ, Philippa Strache, das im WienerLandtag beschlossene neue Wiener Tierhaltegesetz, das unter anderemeine generelle Maulkorbflicht für Listenhunde vorsieht. „Hier werdenbestimmte Hunderassen automatisch zu ,Bestien‘ hochstilisiert,während die wahren Probleme einfach negiert werden. Mit der jetztbeschlossenen Anlassgesetzgebung im Wiener Landtag werdenSachlichkeit und sinnvolle Lösungsansätze hintangestellt, nur um dasThema schnell vom Tisch wischen zu können. Das aktuelleMaßnahmenpaket, das auch ein Alkolimit für Listenhundehalter sowieeinen – nur leicht abgeschwächten – Freibrief zur ,ex lege‘-Tötungvon ,bissigen‘ Hunden beinhaltet, richtet jedoch mehr Schaden an alsNutzen und steht im starken Widerspruch zu einem verantwortungsvollenTierschutz“, betonte Strache.Offenbar sei es der Wiener Tierschutzstadträtin Sima nicht gelungen,eine gute Lösung im Interesse der Hunde und der Hundebesitzer in derStadt zu finden. „Hier wurde bedauerlicherweise erneut in einerSchnellaktion ein Gesetz beschlossen, nur um dieses Thema so raschwie möglich wieder loszuwerden. Egal, was das an Konsequenzen für dieHundehalter bedeutet. Mal abgesehen von der nur noch zusätzlichbefeuerten Verunsicherung in der Bevölkerung. Anscheinend haben dieVerantwortlichen nicht verstanden, dass es hier und einfunktionierendes Miteinander benötigt wird und kein „wie bekommen wirdie Hunde peu a peu aus Wien raus“! Probleme, Missstände undMissbrauch werden auch weiterhin der Alltag für viele Hunde undHundebesitzer sein“, so Strache.„Bei all diesen Punkten wird der Hund als Mittelpunkt des Problemsdargestellt, während die Themen Verantwortung des Hundehalters sowieAufklärung über den korrekten Umgang mit Tieren, Rasse etc. viel zukurz kommen. Nach dem Beschluss des Tierschutzgesetzes im Jahr 2010ist das eine weitere Pauschalverurteilung bestimmter Hunderassen! Dasist der absolut falsche Weg, nämlich ein Weg, der uns bald zuZuständen wie in Dänemark führen wird. Die neue Wiener Regelung hättedie Chance geboten, einen neuen Weg im Sinne der Mensch-TierBeziehung zu gehen, offensichtlich interessiert das dieVerantwortlichen jedoch wenig“, so Philippa Strache.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖStracheTierschutzTiereWienHuman InterestChannelPolitikChronik"
FPÖ: AVISO: Buchpräsentation morgen in Graz „HC STRACHE – Vom Rebell zum Staatsmann“,WIEN (OTS) - Hiermit laden wir die Kolleginnen und Kollegen der Medien zu folgendem Termin ein:,2018-11-28T18:02:59+01:00,https://www.ots.at/presseaussendung/OTS_20181128_OTS0256/fpoe-aviso-buchpraesentation-morgen-in-graz-hc-strache-vom-rebell-zum-staatsmann,"WIEN (OTS) - Hiermit laden wir die Kolleginnen und Kollegen derMedien zu folgendem Termin ein:Buchpräsentation „HC STRACHE – Vom Rebell zum Staatsmann“Es nehmen teil:FPÖ-Bundesparteiobmann Vizekanzler Heinz-Christian Strache,Landesparteiobmann der FPÖ Steiermark Bundesminister Mario Kunasek,die Wiener Stadträtin Ursula Stenzel sowie der Autor des Buches LAbg.Martin Hobek und Verleger Wolfgang Dvorak-Stocker.Donnerstag, 29. November 2018, Einlass: 19:30 Uhrmit anschließender SignierstundeORT: Messe Congress Graz, Haupteingang StadthalleOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖTerminBuchpräsentationSteiermarkStracheChannelPolitikChronik"
"FPÖ/ÖSR-Neubauer: ""LAbg. Dr. Walter Ratt seit 15 Jahren an der Spitze des Oberösterreichischen Seniorenrings""","""Silbernes Ehrenzeichen für Verdienste um die Republik Österreich für seine Leistungen 2015 erhalten""",2018-11-28T10:33:11+01:00,https://www.ots.at/presseaussendung/OTS_20181128_OTS0081/fpoeoesr-neubauer-labg-dr-walter-ratt-seit-15-jahren-an-der-spitze-des-oberoesterreichischen-seniorenrings,"""Silbernes Ehrenzeichen für Verdienste um die Republik Österreich für seine Leistungen 2015 erhalten""Utl.: ""Silbernes Ehrenzeichen für Verdienste um die RepublikÖsterreich für seine Leistungen 2015 erhalten"" =Wien (OTS) - Der Bundesobmann des Österreichischen Seniorenrings undSeniorensprecher des Freiheitlichen Parlamentsklubs NAbg. WernerNeubauer gratuliert und bedankt sich bei seinem Weggefährten undKamaraden LAbg. Dr. Walter Ratt sehr herzlich für seinen langjährigenunermüdlichen Einsatz an der Spitze des OberösterreichischenSeniorenrings.„Darüber hinaus ist Walter Ratt mein Stellvertreter als Bundesobmannsowie stimmberechtigtes Ersatzmitglied im Präsidium und im Vorstanddes Österreichischen Seniorenrats, wo er sich beherzt für dieInteressen der älteren Generation einsetzt. Auch in seiner Funktionals freiheitlicher Abgeordneter zum Oberösterreichischen Landtagkämpft er unermüdlich für die Grundrechte und Würde der Senioren“,sagte Neubauer.„Ich darf Walter Ratt auf diesem Wege nochmals meinen Dank und meineAnerkennung für seine Leistung zum Ausdruck bringen und wünsche mir,dass er noch viele weitere Jahre so engagiert für unsere Senioren imEinsatz ist“, bekräftigte Neubauer.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖNeubauerRattSilbernes_EhrenzeichenSeniorenGesellschaftBevölkerungChannelPolitikChronik"
Vizekanzler Strache: Kosovo muss Zollerhöhung für serbische Waren zurücknehmen!,Wien (OTS) - Empört zeigte sich Österreichs Vizekanzler und FPÖ-Bundesparteiobmann Heinz-Christian Strache über das Vorgehen der kosovarischen Regierung beim Zollabkommen mit Serbien. Kosovo hat nämlich die...,2018-11-23T12:13:05+01:00,https://www.ots.at/presseaussendung/OTS_20181123_OTS0131/vizekanzler-strache-kosovo-muss-zollerhoehung-fuer-serbische-waren-zuruecknehmen,"Wien (OTS) - Empört zeigte sich Österreichs Vizekanzler undFPÖ-Bundesparteiobmann Heinz-Christian Strache über das Vorgehen derkosovarischen Regierung beim Zollabkommen mit Serbien. Kosovo hatnämlich die Zölle auf serbische Waren vor 15 Tagen von 1 auf 10Prozent erhöht und in der letzten Regierungssitzung auf 100 Prozentangehoben.Im Gespräch mit Vertretern der kosovarischen Regierung vor wenigenTagen in Wien verlangte der Vizekanzler die Rücknahme der Erhöhungauf 10 Prozent. „Dass jetzt sogar auf 100 Prozent erhöht wird, istein Affront sondergleichen und führt ganz sicher zu keinerNormalisierung der Beziehungen“, kritisierte Strache. „Einige lokalePolitiker im Kosovo haben sogar öffentlich serbische Lebensmittelverbrannt. Das ist absolut letztklassig.“ Kosovo müsse sich an dasCEFTA-Abkommen halten.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖStracheSerbienKosovoChannelPolitik"
FPÖ: „Das neue Waffengesetz ist auf den Weg gebracht“,„Neben der Umsetzung der EU-Waffenrechtsrichtline gibt es endlich auch Verbesserungen für Jäger und Sportschützen“,2018-11-20T08:41:44+01:00,https://www.ots.at/presseaussendung/OTS_20181120_OTS0019/fpoe-das-neue-waffengesetz-ist-auf-den-weg-gebracht,"„Neben der Umsetzung der EU-Waffenrechtsrichtline gibt es endlich auch Verbesserungen für Jäger und Sportschützen“Utl.: „Neben der Umsetzung der EU-Waffenrechtsrichtline gibt esendlich auch Verbesserungen für Jäger und Sportschützen“ =Wien (OTS) - Während der Entwurf zur Novelle des Waffengesetzes dievierwöchige Begutachtungsfrist durchlaufen hat, sind zahlreicheStellungnahmen im Innenministerium eingelangt. Hier zeigte sichwieder besonders die Bürgernähe von Innenminister Herbert Kickl,seinem Kabinett und dem freiheitlichen Parlamentsklub. VieleVorschläge und Verbesserungswünsche fanden noch den Weg in dieses sosensible Gesetz.„Die Waffengesetznovelle, welche die EU-Waffenrichtlinie inösterreichisches Recht umsetzt, ist in seiner ausgewogenenAusgestaltung die nötige Mischung zwischen dem Sicherheitsbedürfnisund den einzelnen Freiheitsrechten der österreichischen Bevölkerung.Es ist mit der Umsetzung der Richtlinie gelungen, die nötigenVerschärfungen mit Verbesserungen in der Verwaltung und einer bisherfehlenden Rechtssicherheit zu verknüpfen. Somit konnten dieAuswirkungen auf den einzelnen legalen Waffenbesitzer so gering alsmöglich gehalten werden, dementsprechend wird das Recht, Waffen imbisherigen Ausmaß zu besitzen, nicht eingeschränkt“, so InnenministerHerbert Kickl zum Pressedienst der FPÖ.In der Vergangenheit wurden Novellen des Waffengesetzes immer mehrzulasten der österreichischen „Legalwaffenbesitzer“ ausgetragen. Dieshat sich nun, soweit mit der EU-Richtline vertretbar, geändert.Sowohl Jäger als auch Sportschützen profitieren vom neuen Gesetz, umihrer Profession so gut wie möglich nachgehen zu können. Denfreiheitlichen Verhandlern war es besonders wichtig, dass ab dem 1.Jänner 2019 Jäger der Jagd mit einem Schallmodulator(„Schalldämpfer“) nachgehen können. Die Kombination einer gültigenWaffenbesitz- und Jagdkarte erlaubt nun auch das Führen einer Waffeder „Kategorie B“ zur Ausübung der Jagd. Dies erlaubt nun allenJägern mit genannten Voraussetzungen eine sichere und effektiveNachsuche.Auch Sportschützen fanden im neuen Entwurf ihre Berücksichtigung, soreicht bei der Beantragung einer Waffenbesitzkarte (WBK) alsBegründung „Sportschütze“, die zur Ausübung des Sportes benötigteAnzahl an Waffen der „Kategorie B“ (genehmigungspflichtige Waffen)wurde erleichtert und mit der Definition des „Sportschützen“ eineRechtssicherheit geschaffen. Mitglieder von Sportschützenvereinen mitmehr als 35 Mitgliedern oder Sportschützenvereinen, welche in einemLandessportverband des ÖSB organisiert sind, ist es auch weiterhingestattet, Magazine mit hoher Kapazität zu erwerben und sportlich zuverwenden, sofern eine sportliche Aktivität den Bedarf rechtfertigt.Der Altbestand an Magazinen muss zwar binnen zwei Jahren gemeldetwerden, der Besitz ist aber gesichert.Den Verhandlern unter Innenminister Herbert Kickl und derFreiheitlichen Partei war und ist es besonders wichtig, dass„Österreichs Legalwaffenbesitzer“ und ganz besonders den Jägern undSportschützen keine weiteren „Steine in den Weg“ gelegt werden, umihrem Hobby nachzugehen. Immerhin gehört die Jagd zu ÖsterreichsKultur und Identität und unsere Sportschützen erreichen regelmäßiginternationale Spitzenplätze.Gerade dem Innenministerium liegt es am Herzen, die Sicherheit in derÖffentlichkeit durch die Möglichkeit von Waffenpässen für Beamte, diean Schusswaffen trainiert sind, zu erhöhen. So ist es nun auchJustizwachebeamten und Militärpolizisten möglich, neben Polizisten,einen Waffenpass zu erlangen, um Pistole oder Revolver in derFreizeit zu führen. Diese Beamte beweisen tagtäglich ihreVerlässlichkeit und den sicheren Umgang mit ihren zugewiesenenWaffen.Innenminister Herbert Kickl bedankte sich von ganzem Herzen beiseinen Mitarbeitern im BMI, den Fachreferenten des FreiheitlichenParlamentsklubs und den vielen Einbringern der Stellungnahmen fürdiese hervorragende Arbeit zu diesem Gesetz.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖKicklBMIWaffengesetzChannelPolitikChronik"
"FPÖ/FJ-Raml: ""Streiks in der Metalltechnischen Industrie sind bedauerlich""","""SJ-Herr bedient sich Klassenkampfrhetorik und konterkariert jeglichen sachlichen Diskurs""",2018-11-13T09:30:22+01:00,https://www.ots.at/presseaussendung/OTS_20181113_OTS0044/fpoefj-raml-streiks-in-der-metalltechnischen-industrie-sind-bedauerlich,"""SJ-Herr bedient sich Klassenkampfrhetorik und konterkariert jeglichen sachlichen Diskurs""Utl.: ""SJ-Herr bedient sich Klassenkampfrhetorik und konterkariertjeglichen sachlichen Diskurs"" =Wien (OTS) - Auf die Solidaritätsbekundungen der Vorsitzenden derSozialistischen Jugend, Julia Herr, für die Streiks in derMetalltechnischen Industrie reagiert der geschäftsführendeBundesobmann der Freiheitlichen Jugend, Bundesrat Dr. Michael Raml,mit Unverständnis: ""Die SJ bedient sich mit ihrem Unternehmer-Bashingund ihren Solidaritätsbekundungen für die Streiks der Arbeitnehmerganz klar klassenkämpferischer Rhetorik. Das beweist wieder einmal,dass die Sozialistische Jugend mit ihrer Denkweise im vorigenJahrhundert steckengeblieben ist."" Der freiheitliche Bundesrat führtweiter aus: ""Aus meiner Sicht können Streiks wirklich nur dasallerletzte Mittel, die ultima ratio, sein. SolangeArbeitnehmerinteressen nicht negiert und ausgeblendet werden, gehörenfür mich Verhandlungen auf den Tisch und nicht auf die Straße.""Für Raml seien Streiks wirklich nur das letzte Mittel, wenngrundlegende Arbeitnehmerinteressen und Errungenschaften derArbeiterschaft bedroht werden. Ansonsten kosten die Streiks derWirtschaft nur Geld und einig werde man sich auf diesem Weg auchnicht. Der Jungpolitiker appelliert an die Verantwortlichen:""Klassenkampf ist etwas für das 20. Jahrhundert. Die beste Lösung istimmer noch der Dialog zwischen Arbeitnehmern und Arbeitgebern. Nur imMiteinander kann man Probleme lösen und die Wirtschaft gemeinsamvorantreiben. Ich appelliere an die Verantwortlichen, zurück auf denVerhandlungstisch zu kommen, denn die Straße ist kein Ort für eingelungenes Miteinander!""OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖRamlFreiheitlicheJugendMetaller-KVStreikChannelPolitik"
Freiheitliche Jugend feiert mit Vizekanzler HC Strache und 400 Jugendlichen Geburtstag,60 Jahre im Zeichen von Patriotismus und Geschlossenheit,2018-10-28T10:32:50+01:00,https://www.ots.at/presseaussendung/OTS_20181028_OTS0015/freiheitliche-jugend-feiert-mit-vizekanzler-hc-strache-und-400-jugendlichen-geburtstag,"60 Jahre im Zeichen von Patriotismus und GeschlossenheitUtl.: 60 Jahre im Zeichen von Patriotismus und Geschlossenheit =Wien (OTS) - Im Rahmen einer großen Feier und in Anwesenheit vonVizekanzler HC Strache zelebrierte die Freiheitliche Jugend ihren 60.Geburtstag. Am Nationalfeiertag kamen Mitglieder aus allenBundesländern nach Wien, um in der Ottakringer Brauerei demerfreulichen Anlass beizuwohnen. Erfreut zeigte sich auch dasFührungsduo der Freiheitlichen Jugend, Bundesobmann StadtratMaximilian Krauss und Bundesrat Michael Raml, über die gelungeneVeranstaltung: „Bei solchen Events zeigt sich wieder einmal dieGeschlossenheit unserer Bewegung, bei uns werden Kameradschaft undZusammenhalt hochgehalten.“ Bundesrat Raml ergänzt: „Vor 60 Jahrenals kleine Vorfeldorganisation von Jungfreiheitlichen gegründet, hatsich die Freiheitliche Jugend im Laufe der Jahrzehnte zu einemstabilen Faktor im Bereich der Jugendvereine entwickelt.“ Den Erfolgführt StR Krauss vor allem darauf zurück: „In Zeiten wie diesen, wodurch gesellschaftliche Umbrüche schnell Werte über Bord geworfenwerden, bietet die Freiheitliche Jugend Stabilität und Halt. Bei unswerden Werte wie Kameradschaft und und Heimatverbundenheit noch immerhochgehalten.“„Wir bringen die Themen, die die Jugend bewegen, auf den Punkt.Manchmal vielleicht mit etwas spitzer Zunge, aber diese Klarheit derWorte wird von vielen geschätzt und ist sicher auch ein Garant dafür,dass sich die Freiheitliche Jugend im Laufe der Jahre so gut haltenkonnte und heute mehr denn je gebraucht wird“, sind sich die beidensicher. „Mit unserem breiten Angebot an Seminaren bzw. Workshops undFreizeitgestaltungsmöglichkeiten haben wir die richtige Balancezwischen politischer Arbeit und geselligem Zusammensein gefunden.Nicht umsonst bleiben Kameraden beim RFJ oftmals Freunde fürs Leben.Und nicht umsonst werden Jungpolitiker, die ihre Wurzeln bei unshaben, zu namhaften Größen in der Politik“, sind sich die beideneinig. In der Frage, was die Freiheitliche Jugend denn nun ausmacht,antworten die Bundesobmänner: „Bei uns ist für jeden etwas dabei,egal ob Ausflug in die Berge oder Rhetorikseminar. Die Kombinationzwischen Freizeitgestaltung und dem Hochhalten von gewissen Wertensind die Grundlage unseres Erfolgs. Das wird sich auch in dennächsten 60 Jahren nicht ändern.“„Ich gratuliere unseren „Jungfreiheitlichen“ unter Obmann MaximillianKrauss und Michael Raml, welche eine exzellente Arbeit machen. Werdie Jugend auf seiner Seite hat, dem gehört die Zukunft. Und die FPÖhat bei den 16 bis 35-jährigen die größte Unterstützung“, soFPÖ-Bundesparteiobmann Vizekanzler HC Strache.Hier das Video zum Jubiläum:https://m.youtube.com/watch?v=SFjustkD6aY&feature=youtu.beOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | NFPprintStichworteFPÖJugendJubiläumGesellschaftBevölkerungChannelPolitikChronik"
