Titel,Teaser,Datum,Link,Inhalt
GRÜNE – TERMINE,Vom 21. Bis 27.12.,2020-12-18T13:26:59+01:00,https://www.ots.at/presseaussendung/OTS_20201218_OTS0160/gruene-termine,"Vom 21. Bis 27.12.Wien (OTS) -Montag, 21. Dezember 2020:12.45 Uhr: Klimaschutzministerin Leonore Gewessler unterzeichnet gemeinsam mit Vertreter*innen des Landes Salzburg das „Öffi-Paket für Salzburg“.Mittwoch, 23. Dezember11.00 Uhr: Minster*innenratVizekanzler Werner Kogler beim ""Ö3-Weihnachtswunder"".Donnerstag, 24. DezemberVizekanzler Werner Kogler und Klimaschutzministerin Leonore Gewessler bei ORF Licht ins Dunkel.Änderungen vorbehalten.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktKommunikation für Vizekanzler Werner Kogler, Bundesministerium für Kunst, Kultur, Öffentlicher Dienst und Sport:Gabi Zornig +43 664 9629145, Theresa Vonach +43 664 9633318Kommunikation für die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Leonore Gewessler:Florian Berger +43 660 7730311, Theresa Gral: +43 664 9659896StichworteGrüneTermineChannelPolitik"
Waitz/Wiener: Hofschlachtung für Kleintiere muss weiterhin erlaubt bleiben,Regelung verlängern und in EU-Richtlinie umwandeln,2020-12-16T09:02:38+01:00,https://www.ots.at/presseaussendung/OTS_20201216_OTS0039/waitzwiener-hofschlachtung-fuer-kleintiere-muss-weiterhin-erlaubt-bleiben,"Regelung verlängern und in EU-Richtlinie umwandelnWien, Brüssel (OTS) -Mit Ende des Jahres fällt eine Regelung, die es Landwirtinnen und Landwirten erlaubt, Kleintiere wie Hühner und Hasen für Direktvermarktungen am eigenen Hof zu schlachten.Thomas Waitz, EU-Abgeordneter der Grünen und Ko-Vorsitzender der Europäischen Grünen Partei, sagt: “200 österreichische Landwirtinnen und Landwirte sind durch das Auslaufen der Regelung direkt betroffen und können ihre Tiere in Zukunft nicht mehr direkt am Hof schlachten und an Konsument*innen verkaufen. Hofschlachtungen ersparen den Tieren den Transportstress, verkürzen Produktionsketten, fördern regionale Produkte und sind ein wichtiger Kontrapunkt zur industriellen Landwirtschaft. Statt dem Auslaufen der Regelung, wäre es wichtig,diese in dauerhaftes Recht umzuwandeln.So können wir die klein- und mittelständische Landwirtschaft in Österreich wirklich unterstützen.”Sarah Wiener, Grüne EU-Abgeordnete und Schattenberichterstatterin der Farm-to-Fork-Strategie ist empört: „Gerade die Corona-Krise und die unzähligen Schlachthofskandale haben dieses Jahr gezeigt wie wichtig es ist, kleine dezentrale und mobile Hof-Schlachtereien zu befördern und zu unterstützen. Die Ausnahmeregelung für Hof-Schlachtungen muss zu einer fixen Regelung werden. Die Folge wären mehr Regionalwert, mehr Tierwohl, mehr Klimaschutz, mehr Vielfalt - genau das, was wir uns alle wünschen und brauchen.“Die Kommission will die Regelung auslaufen lassen und ein Gesetz im nächsten Jahr dazu vorschlagen. Einige Mitgliedstaaten, darunter auch Österreich und Frankreich, befürworten eine Verlängerung.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktInge ChenPressesprecherin Thomas Waitz+32484912134inge.chen@europarl.europa.euStichworteEUAgrarNahrungsmittelindustrieUmweltTiereWirtschaft und FinanzenBranchenVerarbeitende IndustrieHuman InterestChannelPolitikWirtschaft"
Disoski entsetzt über SPÖ-Kürzungen in Frauenbudgets der Länder,Grüne Frauen Österreich: Kürzungen grob fahrlässig,2020-12-11T13:18:19+01:00,https://www.ots.at/presseaussendung/OTS_20201211_OTS0207/disoski-entsetzt-ueber-spoe-kuerzungen-in-frauenbudgets-der-laender,"Grüne Frauen Österreich: Kürzungen grob fahrlässigWien (OTS) -Die Vorsitzende der Grünen Frauen Österreich, Meri Disoski, ist entsetzt über die Kürzungen in den Frauenbudgets von Wien und Burgenland: „Dass die SPÖ, die sich immer eine progressive Frauenpolitik auf die Fahnen geschrieben hat, die Frauenbudgets in Wien und Burgenland drastisch kürzt, ist nicht nur völlig unverständlich, sondern absolut fahrlässig.“„Nachdem sich die rot-pinke Koalition in Wien bereits in Klimaschutzfragen als rückwärtsgewandte Beton-Partie erwiesen hat, erweist sie sich nun auch frauenpolitisch als Rückschrittskoalition und kürzt das Frauenbudget um 500.000 Euro“, zeigt sich Disoski völlig verständnislos. „Aber nicht nur in Wien, auch im Burgenland, wo die SPÖ allein regiert, hat sie das Frauenbudget gekürzt. Künftig stehen etwa den Frauenberatungsstellen 40.000 Euro weniger zur Verfügung, auch die Mittel für Rechts- und Beratungsaufwand wurden gekürzt. Diese Kürzungen in der Frauenpolitik sind für uns nicht akzeptabel“, sagt Disoski.„Auf Bundesebene bedeuteten zehn Jahre rot-schwarze Regierungen unter SP-Frauenministerinnen stagnierende Frauenbudgets, unter der ÖVP-FPÖ-Regierung wurde das Frauenbudget zuletzt sogar gekürzt“, erinnert die Grüne Frauenvorsitzende. „Dank der Grünen Regierungsbeteiligung im Bund wurde das Frauenbudget in den letzten zehn Monaten um 43 Prozent erhöht. Auch im Justizministerium, im Innen- und Gesundheitsministerium haben wir die Mittel für den Kampf gegen Hass im Netz, für die Opferhilfe und den Gewaltschutz um mehrere Millionen Euro erhöht“, führt Disoski aus.„Wichtige Erhöhungen des Frauenbudgets durch die Bundesregierung kritisiert die SPÖ im Parlament als unzureichend. Gleichzeitig kürzt sie dort, wo sie selbst in Regierungsverantwortung ist, die Frauenbudgets. Das ist nicht nur unehrlich und unverantwortlich. Es ist auch Ausdruck des frauenpolitischen Engagements der SPÖ: Forderungen an andere richten, selbst Rückschritte verantworten“, sagt Disoski abschließend.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktDIE GRÜNENpresse@gruene.atStichworteGrüneDisoskiFrauenBudgetFrauenpolitikWirtschaft und FinanzenKonjunkturVolkswirtschaftChannelPolitikChronik"
GRÜNE – TERMINE,Vom 14.12. bis 20.12.,2020-12-11T13:14:10+01:00,https://www.ots.at/presseaussendung/OTS_20201211_OTS0206/gruene-termine,"Vom 14.12. bis 20.12.Wien (OTS) -Montag, 14. Dezember 2020:Ab 09.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt bei einer informellen Videokonferenz der europäischen Energieminister*innen teil.Dienstag, 15. Dezember 2020:12.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt als Rednerin bei der „Die Europa-Zukunftsdebatte“ der Österreichischen Gesellschaft für Europapolitik via Videokonferenz teil.Mittwoch, 16. Dezember 2020:09.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt am Umweltausschuss anlässlich des Klimaschutzvolksbegehrens teil (wird erstmals live übertragen).11.00 Uhr: Minister*innenrat15.30 Uhr: Klimaschutzministerin Leonore Gewessler eröffnet die Ausstellung Robotik und KI im Technischen Museum. Ort: Technisches Museum Wien, Mariahilfer Straße 212, 1140 WienDonnerstag, 17. Dezember 2020:09.30: Pressekonferenz zu „Inklusion in Krisenzeiten“ mit Sozialminister Rudi Anschober, Christine Steger, Vorsitzende des Monitoringausschusses, Herbert Pichler, Präsident des Österreichischen Behindertenrates und Claudia Lösch, ehemalige Behindertensportlerin.Ort: Sozialministerium, Stubenring 1, 1010 Wien, Pressezentrum, 5. Stock – Eingang SozialministeriumKlimaschutzministerin Leonore Gewessler nimmt am europäischen Umweltrat in Brüssel teil.Änderungen vorbehalten.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktRückfragehinweis:Kommunikation für Vizekanzler Werner Kogler, Bundesministerium für Kunst, Kultur, Öffentlicher Dienst und Sport: Gabi Zornig +43 664 9629145, Theresa Vonach +43 664 9633318Kommunikation für den Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz, Rudi Anschober: Margit Draxl +43 664 8312966, Adrian Hinterreither +43 664 6007212083, Katha Häckel-Schinkinger +43 664 3117097, Andrea Zefferer +43 664 8581372Kommunikation für die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Leonore Gewessler: Florian Berger +43 660 7730311, Theresa Gral: +43 664 9659896StichworteGrüneTermineChannelPolitik"
Sarah Wiener zu GVOs: „Lassen wir das Vorsorgeprinzip unserer Gesundheit und dem Ökosystem zuliebe bitte weiterhin walten“,Brüssel (OTS) - Soeben hat der Umweltausschuss des Europäischen Parlaments fünf Einsprüche gegen die Zulassung von neuen gentechnisch veränderten Soja- und Mais-Sorten eingebracht.,2020-12-01T12:30:47+01:00,https://www.ots.at/presseaussendung/OTS_20201201_OTS0175/sarah-wiener-zu-gvos-lassen-wir-das-vorsorgeprinzip-unserer-gesundheit-und-dem-oekosystem-zuliebe-bitte-weiterhin-walten,"Brüssel (OTS) -Soeben hat der Umweltausschuss des Europäischen Parlaments fünf Einsprüche gegen die Zulassung von neuen gentechnisch veränderten Soja- und Mais-Sorten eingebracht.Damit sind es innerhalb er letzten fünf Jahre nun bereits insgesamt über fünfzig Einsprüche, die die Mitglieder des ENVI, darunter auch die Grüne EU-Abgeordnete Sarah Wiener, gegen das Inverkehrbringen von diversen Gentech-Lebensmitteln in der Europäischen Union erhoben haben: „Bis jetzt wurden wir von der Kommission aber knallhart ignoriert. Dabei ist es von enormer Bedeutung was auf unseren Tellern landet oder unseren Tieren gefüttert wird. Es wäre fatal GVOs ohne ausreichende Risikoabschätzung auf dem europäischen Markt zuzulassen. Lassen wir das Vorsorgeprinzip doch unserer Gesundheit und dem Ökosystem zuliebe bitte weiterhin walten,“ so Wiener.„Aufwühlender noch ist der Ausblick was die neue Gentechnik angeht“, sagt die EU-Abgeordnete: „Bislang fallen neue Methoden wie CRISPR/Cas unter das EU-Gentechnikgesetz. Das hat vor zwei Jahren der Europäische Gerichtshof entschieden. Große Gentechnik-Unternehmen betreiben allerdings großes Lobbying in ihrer Sache und versuchen die Kommission zu beeinflussen: sie versuchen das Urteil als veraltet darzustellen.“Das ihnen das zu einem gewissen Grad bereits gelungen ist, zeigt eine von der EFSA kürzlich veröffentlichte Studie. Sarah Wiener: „Darin heißt es: die Gen-Editierung würde nicht mehr Gefahren mit sich bringen als die konventionelle Züchtung, dass Gen-Editing die DNA von Tieren, Pflanzen und Mikroorganismen mit hoher Präzision verändere und es sich nicht lohne, sich mit den sogenannten ""Off-Target-Effekten"" des Gen-Editings zu befassen, d.h. mit anderen genetischen Veränderungen als denjenigen, auf die die Technologie abzielt. Da schrillen bei mir alle Alarmglocken“, ist Sarah Wiener empört.Im April 2021 will die Kommission darüber entscheiden, ob geneditierte Pflanzen aus neuen Methoden nun nicht mehr unter das Europäische Gentechnikrecht fallen sollen. Viel früher, nämlich in vierzehn Tagen, wird aber zunächst noch das Plenum über die neuen fünf GVO-Einsprüche des ENVI abstimmen.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktSarah Rogaunig/Pressesprecherin Sarah Wiener, MEPsarahmartina.rogaunig@la.europarl.europa.euStichworteAgrarNahrungsmittelindustrieUmweltErnährungEUWirtschaft und FinanzenBranchenVerarbeitende IndustrieGesundheitKrankheitenPsychische KrankheitChannelPolitikWirtschaft"
"Sarah Wiener: Wir brauchen keinen Black Friday, wir brauchen möglichst langlebige Produkte","Brüssel (OTS) - Gerade die Corona-Krise zeigt auf, dass unsere auf Wachstum gedrillte Wirtschaft unser Ökosystem, die Artenvielfalt und Biodiversität sowie soziale Gleichheit aus dem Ruder bringt. „Ich möchte...",2020-11-27T10:17:16+01:00,https://www.ots.at/presseaussendung/OTS_20201127_OTS0051/sarah-wiener-wir-brauchen-keinen-black-friday-wir-brauchen-moeglichst-langlebige-produkte,"Brüssel (OTS) -Gerade die Corona-Krise zeigt auf, dass unsere auf Wachstum gedrillte Wirtschaft unser Ökosystem, die Artenvielfalt und Biodiversität sowie soziale Gleichheit aus dem Ruder bringt. „Ich möchte niemandem die Freude an einem Schnäppchen nehmen. Aber: Immer mehr und immer schneller – so wird es nicht unendlich lange weitergehen. Wir brauchen keinen Black Friday, wir brauchen möglichst langlebige Produkte und ein Recht auf Reparatur,“ fordert die Grüne EU-Abgeordnete Sarah Wiener.Diese Woche haben die EU-Abgeordneten über die Positionierung des Parlaments zum Aktionsplan für Kreislaufwirtschaft der EU-Kommission abgestimmt, einem zentralen Baustein des Grünen Deals. Mit ihrem Initiativbericht fordern die Parlamentarier eine verpflichtende Kennzeichnung von Produkten hinsichtlich ihrer Lebensdauer und Reparaturmöglichkeiten, außerdem soll eine durch Hersteller absichtlich verkürzte Lebensdauer von Produkten in eine Liste unlauterer Geschäftspraktiken aufgenommen werden.„Es kann doch nicht sein, dass die Reparatur oft teurer ist als der Kauf eines neuen Produktes. Da stimmt was nicht. Ich freue mich sehr, dass das Parlament nun für eine Kennzeichnung der Lebensdauer von Produkten und deren Reparaturmöglichkeiten gestimmt hat. Das trägt einerseits zu mehr Transparenz bei, andererseits kann dadurch Abfall reduziert und das Klima geschützt werden“, sagt Wiener.Schließlich entscheidet sich der Erfolg des Europäischen Grünen Deal gerade auch in den Geschäften. Damit Konsumentinnen und Konsumenten überhaupt nachhaltig einkaufen können, braucht es eine klare Nachhaltigkeits-Kennzeichnung wie Reparierbarkeit oder Langlebigkeit eines Produktes.„Der Europäische Green Deal wird scheitern, wenn er nur auf dem Papier bleibt. Wir müssen jetzt handeln. Die Kreislaufwirtschaft wäre eine großartige Möglichkeit Europa, den größten Binnenmarkt der Welt zum nachhaltigsten und innovativsten Binnenmarkt zu machen“, sagt Sarah Wiener abschließend.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktSarah Rogaunig/Pressesprecherin Sarah Wiener, MEPsarahmartina.rogaunig@la.europarl.europa.euStichworteAbfallHandelKlimaEUVerbraucherUmweltUmweltverschmutzungWirtschaft und FinanzenBranchenKonsumgüterKonjunkturVolkswirtschaftChannelWirtschaftChronik"
Sarah Wiener startet Petition für EU-weite Mindeststandards in der Putenhaltung,"Wien, Brüssel (OTS) - „Die Puten sind die ärmsten Kreaturen unter den Nutztieren. Sie sind nach Huhn und Schwein das am dritthäufigsten landwirtschaftlich genutzte Tier. Allein im vergangenen Jahr wurden EU-weit...",2020-11-26T09:56:25+01:00,https://www.ots.at/presseaussendung/OTS_20201126_OTS0072/sarah-wiener-startet-petition-fuer-eu-weite-mindeststandards-in-der-putenhaltung,"Wien, Brüssel (OTS) -„Die Puten sind die ärmsten Kreaturen unter den Nutztieren. Sie sind nach Huhn und Schwein das am dritthäufigsten landwirtschaftlich genutzte Tier. Allein im vergangenen Jahr wurden EU-weit 190 Millionen Truthühner geschlachtet. Trotzdem gibt es noch immer keine rechtlich verbindlichen Haltungsvorgaben. Da kann ich nicht einfach wegschauen“, sagt die Grüne EU-Abgeordnete Sarah Wiener, die heute eine Petition für die Einführung von EU-weiten Mindeststandards in der Putenhaltung startet. Teilnehmen können Bürger*innen aus der gesamten Europäischen Union.Die Petition richtet sich an die EU-Kommission sowie die EU-Mitgliedsstaaten, die aufgefordert sind endlich zu handeln: „Obwohl der Europarat bereits im Jahr 2001 Empfehlungen für die Haltung von Truthühnern erarbeitet hat, gibt es noch immer keine EU-Richtlinie zur Putenhaltung. Was wir also brauchen sind gesetzlich verbindliche EU-Mindeststandards auf Basis wissenschaftlicher Erkenntnisse, die zumindest die österreichischen Standards nicht unterschreiten dürfen“, sagt Sarah Wiener.Österreich hat die EU-weit höchsten gesetzlichen Mindeststandards für die Putenhaltung. Auch hier begrüßt man Sarah Wieners Initiative. „Ich habe mit zahlreichen österreichischen Bäuer*innen und Expert*innen der österreichischen Geflügelbranche gesprochen und es besteht große Einigkeit über den Handlungsbedarf auf EU-Ebene“, so Sarah Wiener, die nun auf baldige Aktivitäten von Landwirtschaftsministerin Köstinger in Zusammenarbeit mit Tierschutzminister Anschober im EU-Rat hofft.Neben den Mindeststandards fordert die EU-Abgeordnete Sarah Wiener mit ihrer Petition auch eine ehrliche Kennzeichnung: „Schon im Supermarkt fällt es oft schwer herauszufinden, wo und wie das Tier gehalten und geschlachtet wurde. Selbst da herrscht großes Verbesserungspotential. Der Großteil des Fleischkonsums aber findet außer Haus statt, weshalb es umso dringender auch in der Gemeinschaftsverpflegung (Gastronomie, Krankenhäuser etc.) eine ganz klare Herkunfts- und Haltungskennzeichnung braucht“, sagt Wiener und setzt fort: „Wir alle haben das Recht zu wissen, was auf unseren Tellern landet.“Nähere Informationen zu Sarah Wieners Puten-Petition finden Sie hier:Deutsch:https://www.tilt.green/de/turkeysEnglisch:https://www.tilt.green/turkeysOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktSarah Rogaunig / Pressesprecherin Sarah Wiener, MEPsarahmartina.rogaunig@la.europarl.europa.euStichworteAgrarErnährungEUNahrungsmittelindustrieVerbraucherWirtschaft und FinanzenBranchenGesundheitKrankheitenPsychische KrankheitVerarbeitende IndustrieKonjunkturVolkswirtschaftChannelPolitikWirtschaft"
EU: Nach langem Hin und Her ist der Einsatz von Bleischrot in Feuchtgebieten nun endlich verboten!,"Brüssel, Wien (OTS) - Das Plenum des Europäischen Parlaments hat gestern Abend noch die letzten Hürden aus dem Weg geräumt: nach langwierigen Verhandlungen kommt es nun endlich zum Verbot von Bleimunition in...",2020-11-25T09:46:06+01:00,https://www.ots.at/presseaussendung/OTS_20201125_OTS0045/eu-nach-langem-hin-und-her-ist-der-einsatz-von-bleischrot-in-feuchtgebieten-nun-endlich-verboten,"Brüssel, Wien (OTS) -Das Plenum des Europäischen Parlaments hat gestern Abend noch die letzten Hürden aus dem Weg geräumt: nach langwierigen Verhandlungen kommt es nun endlich zum Verbot von Bleimunition in Feuchtgebieten.Sarah Wiener, Grüne Europaabgeordnete im Umweltausschuss des Europäischen Parlaments kommentiert: „Jährlich sterben mehr als eine Million Vögel an einer Bleivergiftung. Es ist also höchste Zeit, dass Bleischrot allem voran in Feuchtgebieten verboten wird, wo Böden mit hunderten Tonnen Bleimunition verseucht sind. Kleinere Vögel verwechseln die Bleikugeln mit Futter oder Kieseln und verenden daran. Raubvögel hingegen, vergiften sich, weil sie Vögel fressen, die noch Reste von Bleimunition in sich tragen. Das ist eine furchtbare Situation, die schon viel früher hätte gelöst werden können.“Alternativen zu Bleischrot gibt es schon lange und Blei ist aus guten Gründen bereits aus Treibstoff, Farben und Wasserleitungen verbannt. Bereits 1999 ist die internationale Vereinbarung zum Schutz von Wasservögeln in Kraft getreten, nur wenige EU-Mitgliedsstaaten aber haben das Verbot von Bleischrot in Feuchtgebieten tatsächlich umgesetzt.Anfang September hat sich nun endlich die große Mehrheit der Mitgliedsstaaten für dieses Verbot ausgesprochen. Anhänger der rechtskonservativen EKR-Fraktion aber versuchten das Verbot doch noch mithilfe eines Einspruchs auszuhebeln. Ende Oktober wurde dieser Einspruch im Umweltausschuss allerdings abgewiesen und gestern Abend vom Plenum endgültig zu Grabe getragen.„Die Gründe für den Einspruch waren mehr als fadenscheinig: Die Abgeordneten der EKR kritisierten, dass für Jäger auch das Bei-sich-Tragen einer Bleimunition verboten sein soll, wenn sich diese in der Nähe eines Feuchtgebiets aufhalten. Ihrer Argumentation nach seien Feuchtgebiete nicht ausreichend definiert, um Jägern rechtliche Sicherheit zu gewähren. Aber das ist Schwachsinn, denn natürlich sind Jäger gut genug ausgebildet, um zu wissen, ob sie sich in einem solchen Gebiet befinden oder nicht“, sagt Sarah Wiener und führt fort: „Wir müssen rasch handeln, denn eigentlich brauchen wir kein ausschließliches Verbot von Bleischrot in Feuchtgebieten, sondern ein generelles Verbot von Bleimunition in der Jagd. Dass das problemlos umsetzbar ist, haben die Niederlande und Dänemark nämlich bereits bewiesen – dort wird seit längerem generell ohne Blei gejagt.“OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktSarah Rogaunig / Pressesprecherin Sarah Wiener, MEPsarahmartina.rogaunig@la.europarl.europa.euStichworteAgrarEUTiereWirtschaft und FinanzenBranchenHuman InterestChannelPolitikWirtschaft"
GRÜNE – TERMINE,Vom 23. November bis 29.November,2020-11-20T13:15:57+01:00,https://www.ots.at/presseaussendung/OTS_20201120_OTS0160/gruene-termine,"Vom 23. November bis 29.NovemberWien (OTS) -Montag, 23. November 202010.00 Uhr: Pressekonferenz Corona-Update und Präsentation einer internationalen Studie zu den Maßnahmen der Regierungsverantwortlichen der Länder zu Bekämpfung der COVID-19 Pandemie mit Gesundheitsminister Rudi Anschober, ao. Univ. Prof. Dr. Peter Klimek und ao. Univ. Prof. Dr. Herwig OstermannOrt: Sozialministerium, Stubenring 1, 1010 Wien, Pressezentrum 5. Stock. Bitte den Eingang Sozialministerium (Tor 2) benützen.10.00 Uhr: Klimaschutzministerin Leonore Gewessler lädt zur Pressekonferenz mit WWF und Birdlife zu Wildtierkriminalität in Österreich. Die Möglichkeit, online teilzunehmen, ist gegeben.Ort: Festsaal des BMK, Radetzkystraße 2, 1030 Wien19.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt an einer Podiumsdiskussion (Joanneums-Gespräche: Der Kampf um Grund und Boden) in Kooperation mit Ö1 im Radiokulturhaus teil.Ort: Radiokulturhaus, Argentinierstraße 30A, 1040 Wien20.15 Uhr: Vizekanzler und Bundesminister Werner Kogler im “Corona-Bürgerforum” auf Puls 4 und Puls 24Dienstag, 24. November 2020:16.00 Uhr: Klimaschutzministerin Leonore Gewessler  nimmt an der Preisverleihung „GEWINN JUNGUNTERNEHMER-Wettbewerb 2020“ via  Videokonferenz teil.Mittwoch, 25. November 202011.00 Uhr: Minister*innenrat20.15 Uhr: Vizekanzler und Bundesminister Werner Kogler am Spendentelefon beim „Licht ins Dunkel – Gala-Abend“ auf ORF 2Donnerstag, 26. November 202011.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt am Meet&Greet der Top 3-Greenstarter Start-ups via Videokonferenz teil.16.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt an der Podiumsdiskussion “Konversionsperspektiven der österreichischen Automobilindustrie“ der Universität Wien via Videokonferenz teil.Freitag: 27. November 202011.00 Uhr: Klimaschutzministerin Leonore Gewessler nimmt die Preisverleihung des IÖB-Call „Klimaschutzinnovationen“ virtuell via Videokonferenz vor.OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktKommunikation für Vizekanzler Werner Kogler, Bundesministerium für Kunst, Kultur, Öffentlicher Dienst und Sport:Gabi Zornig +43 664 9629145Kommunikation für den Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz, Rudi Anschober:Margit Draxl +43 664 8312966, Adrian Hinterreither +43 664 6007212083, Katha Häckel-Schinkinger +43 664 3117097Kommunikation für die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Leonore Gewessler:Florian Berger +43 660 7730311StichworteGrüneTermineChannelPolitik"
Sarah Wiener begrüßt Unterstützungserklärung von Ministerin Elisabeth Köstinger für EU-weite Mindeststandards in der Putenhaltung,"Wien, Brüssel (OTS) - „Ich freue mich sehr über die Zusage von Bundesministerin Elisabeth Köstinger in der ORF-Sendung Konkret vom 9.11.2020, meine Initiative zum Schutz der Puten in der EU zu unterstützen,...",2020-11-10T11:55:21+01:00,https://www.ots.at/presseaussendung/OTS_20201110_OTS0111/sarah-wiener-begruesst-unterstuetzungserklaerung-von-ministerin-elisabeth-koestinger-fuer-eu-weite-mindeststandards-in-der-putenhaltung,"Wien, Brüssel (OTS) -„Ich freue mich sehr über die Zusage von Bundesministerin Elisabeth Köstinger in der ORF-Sendung Konkret vom 9.11.2020, meine Initiative zum Schutz der Puten in der EU zu unterstützen, und freue mich auf eine gute Zusammenarbeit“, so die Grüne EU-Abgeordnete Sarah Wiener.Hintergrund des ORF-Berichts ist Sarah Wieners Initiative, mit der sie für EU-weite Mindeststandards in der Putenhaltung kämpft. Die Pute ist nach Huhn und Schwein das am dritthäufigsten landwirtschaftlich genutzte Tier und allein im vergangenen Jahr wurden EU-weit 190 Millionen Truthühner geschlachtet. Trotzdem fehlen rechtlich verbindliche Haltungsvorgaben. „Es braucht also eine EU-Richtlinie, die Mindeststandards in der Putenhaltung klar festlegt. Diese müssen sich am Stand der Wissenschaft orientieren und dürfen jedenfalls die österreichischen Mindeststandards nicht unterschreiten“, sagt die EU-Abgeordnete. Österreich hat die EU-weit höchsten gesetzlichen Mindeststandards für die Putenhaltung.„Im Sommer habe ich einige österreichische Puten-Bäuerinnen und -Bauern besucht, war im EU-Ausland in Putenmästereien und konnte zahlreiche Gespräche mit Expertinnen und Experten der österreichischen Geflügelbranche führen. Es besteht hier große Einigkeit über den Handlungsbedarf auf EU-Ebene“, so Wiener, die nun auf baldige Aktivitäten von Ministerin Köstinger in Zusammenarbeit mit Tierschutzminister Anschober im EU-Rat hofft.Sarah Wiener begrüßt auch die Aussage der Bundesministerin, sich für Verbesserungen in der öffentlichen Beschaffung einsetzen zu wollen. Derzeit wird mit öffentlichen Mitteln fast ausschließlich das billigste Putenfleisch aus der schlechtesten Haltung beschafft. Da Ausschreibungen nicht national diskriminierend sein dürfen, ist eine Tierwohlkennzeichnung ein wichtiges Element für Verbesserungen in diesem Bereich: Eine bestimmte Herkunft kann in der Ausschreibung nicht gefordert werden, wohl aber eine bestimmte (Tierwohl-)Qualität.„Auch in der Gemeinschaftsverpflegung (Gastronomie, Krankenhäuser etc.) braucht es eine ganz klare Herkunfts- und Haltungskennzeichnung“, fordert Wiener und setzt fort: „Wir alle haben das Recht zu wissen, was auf unseren Tellern landet.“Zusammenfassend sagt Sarah Wiener: „Von EU-Mindeststandards für die Putenhaltung würden nicht nur die Tiere profitieren, sondern auch heimische Bäuerinnen und Bauern durch mehr Wettbewerbsgleichheit sowie Konsumentinnen und Konsumenten durch eine bessere Qualität. Ich werde mich in den kommenden Monaten intensiv dafür einsetzen und bin zuversichtlich, viele Mitstreiterinnen und Mitstreiter zu gewinnen.“OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | FMBprintRückfragen & KontaktMag. Sarah Rogaunig, MScPressesprecherin Sarah Wiener, MEPsarahmartina.rogaunig@la.europarl.europa.euStichworteAgrarEUErnährungVerbraucherNahrungsmittelindustrieWirtschaft und FinanzenBranchenGesundheitKrankheitenPsychische KrankheitKonjunkturVolkswirtschaftVerarbeitende IndustrieChannelPolitikWirtschaft"
