Titel,Teaser,Datum,Link,Inhalt
Muttonen: Kein Ende der Seipel-Skandale,Gehrer und Seipel schaden Ansehen der Kulturnation Österreich,2006-03-08T15:37:10+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0254/muttonen-kein-ende-der-seipel-skandale,"Gehrer und Seipel schaden Ansehen der Kulturnation ÖsterreichWien (SK) - ""Die Skandale rund um KHM-Direktor Seipel reißen nichtab. Nun protestieren 30 internationale Kunsthistoriker gegen Seipel,bezeichnen sein Vorgehen gegen Ex-Kunstkammerchef Leither-Jaspe als'nicht tolerierbar' und fordern Ministerin Gehrer auf, endlicheinzuschreiten, um - so die Experten wörtlich - 'Österreich eineinternationale Blamage zu ersparen"", erklärte SPÖ-KultursprecherinChristine Muttonen Mittwoch gegenüber dem Pressedienst der SPÖ. ""Wieviele Beweise braucht Gehrer noch für die Untragbarkeit desKHM-Direktors? Seipel muss gehen! Gehrer kann ihn nicht längerhalten, schließlich steht das Ansehen der Kulturnation Österreich aufdem Spiel"", so Muttonen. **** (Schluss) csRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖMuttonenKulturKHMSeipelGehrerChannelPolitikKultur"
Matznetter zu Mittelstandstrategie der Regierung: Enttäuschend für KMU und nichts für den Mittelstand,"""Mini-Wahlzuckerln nach sechs Jahren Regieren gegen den Mittelstand""",2006-03-08T14:46:48+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0239/matznetter-zu-mittelstandstrategie-der-regierung-enttaeuschend-fuer-kmu-und-nichts-fuer-den-mittelstand,"""Mini-Wahlzuckerln nach sechs Jahren Regieren gegen den Mittelstand""Wien (SK) - Dass nunmehr die Regierungsspitze mit KanzlerSchüssel, Vizekanzler Gorbach, Finanzminister Grasser undWirtschaftsminister Bartenstein ""über einem Mittelstandspaketbrütet"", wertet SPÖ-Budget- und Finanzsprecher Christoph Matznetterals echten Erfolg des unermüdlichen Drucks der SPÖ, die seit Jahrenden Fokus auf die Verbesserung der Rahmenbedingungen für Klein- undMittelbetriebe (KMU) und die finanzielle Stärkung des Mittelstandslegt. Die Ergebnisse der Regierung sind, soweit sie bisher bekanntwurden, für Matznetter freilich enttäuschend: ""Mini-Wahlzuckerln, diedie Regierung als Riesenbonbons darstellen wird"". ****""Leider sind die Regierungsparteien auch beim Abschreiben derIdeen aus dem SPÖ-Wirtschaftsprogramm nicht in der Lage, einumfassendes Konzept zu verwirklichen"", so Matznetter am Mittwochgegenüber dem SPÖ-Pressedienst. ""Abgesehen davon, dass allein derkolportierte Umfang des Regierungspakets nur ein Fünftel derGeldgeschenke an die großen, internationalen Konzerne ausmacht(KöSt-Senkung und Gruppenbesteuerungsprivileg), fehlen diewichtigsten Maßnahmen, die die SPÖ seit Jahren fordert"", betonteMatznetter.Matznetter nannte dazu eine Reihe von einzelnen Punkten:* Umfassende Investitionsbegünstigung (Investititonsfreibetrag füralle Investitionen im Inland)* Umfassende Entlastung des Mittelstands mit Bruttobezügen von 2.000bis 4.000 Euro um 300 bis 400 Euro.* für GründerInnen soll es Änderungen im Mietrecht geben zurErmöglichung von Betriebsübernahmen in Ortszentren und Städten.Weiters: Maßnahmen zur Herstellung von Kreditfähigkeit beiBetriebsgründungen bzw. -übernahmen in Form von Bürgschaften deröffentlichen Hand (Wachstums- und Stabilitätsfonds für KMU)Zur Finanzierung dieser Maßnahmen will Matznetter ""faire 25 Prozent""Besteuerung von den Großbetrieben.Trotz der Freude darüber, dass sich die Regierung überhaupt inRichtung KMU bewegen will, ist das bisherige Ergebnis für Matznetterenttäuschend. Der SPÖ-Finanzsprecher hält es generell für ""beschämendfür die Qualität der Regierungspolitik unter Schüssel, dass in denletzten sechs Jahren laufend gegen die Klein- und Mittelbetriebe undgegen den Mittelstand regiert wurde - und jetzt, fünf Minuten vor derWahl, teilt die Regierung Mini-Wahlzuckerln aus, die mittelsRegierungspropaganda als Riesenbonbons dargestellt werden"". (Schluss)wfRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖMatznetterWirtschaftSteuernChannelPolitikWirtschaft"
Morgen Donnerstag: Habermas/Gusenbauer/Swoboda - Pressegespräch um 17.30 Uhr!,"Wien (SK) - Das Renner-Institut, die Bildungsorganisation der SPÖ und die SPÖ-Parlamentsfraktion laden morgen Donnerstag, 9. März 2006, zu einem Pressegespräch zum Thema ""Perspektiven Europas"" mit dem Philosophen...",2006-03-08T14:40:13+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0238/morgen-donnerstag-habermasgusenbauerswoboda-pressegespraech-um-1730-uhr,"Wien (SK) - Das Renner-Institut, die Bildungsorganisation der SPÖund die SPÖ-Parlamentsfraktion laden morgen Donnerstag, 9. März 2006,zu einem Pressegespräch zum Thema ""Perspektiven Europas"" mit demPhilosophen Jürgen Habermas, SPÖ-Vorsitzendem Alfred Gusenbauer undSPÖ-EU-Abgeordnetem Hannes Swoboda ein. Bereits seit 1993 wirdjährlich der Bruno-Kreisky-Preis für das politische Buch vergeben.PreisträgerInnen seit 1993 waren u.a. Marie Jahoda, Jean Ziegler,Amartya Sen, Ruth Klüger und Jorge Semprún. Am 9. März 2006 wird demdeutschen Philosophen Jürgen Habermas der Bruno-Kreisky-Preis fürsein Lebenswerk verliehen. ****Zeit: Morgen Donnerstag, 9. März 2006, 17.30 UhrOrt: Presseklub Concordia, 1., Bankgasse 8Die VertreterInnen der Medien sind herzlichst eingeladen.(Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖTerminGusenbauerHabermasSwobodaChannelPolitik"
Riepl unterstützt Matznetter-Vorschlag,Finanzämter sollen zu viel bezahle Steuern automatisch rückerstatten,2006-03-08T14:35:30+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0235/riepl-unterstuetzt-matznetter-vorschlag,"Finanzämter sollen zu viel bezahle Steuern automatisch rückerstattenWien (SK) - ""Der Vorschlag von SPÖ-Finanzsprecher Matznetter, dassdie Finanzämter zuviel bezahlte Steuern - nach einer entsprechendenInformation und einer Frist für mögliche Ergänzungen - direkt auf dasKonto des Steuerzahlers überweisen, mache Sinn und sei auch praktischleicht durchführbar. Leichter jedenfalls, als der Aufruf desFinanzministers an die Steuerzahler, sich am 9. März das Geld selbstbeim Wohnsitzfinanzamt direkt abzuholen. ""Diese Einladung ist ausSicht der Arbeitnehmer, aber auch der Arbeitgeber weltfremd"",kommentiert SPÖ-Abgeordneter und stellvertretender Vorsitzender desSozialausschusses Franz Riepl den Aufruf von Finanzminister Grasser.****""Es gibt sehr viele ArbeitnehmerInnen, die sich morgen nichttrauen, ihren Arbeitsplatz für ein, zwei Stunden zu verlassen, umsich ihre Steuergutschrift beim Finanzamt abzuholen. Und Grasser weißdas. Man muss sich die Schwierigkeiten einer Supermarktkassiererinvorstellen, die sich mit der Begründung, dass der Finanzminister dazuaufgerufen hat, für zwei Stunden frei nimmt. Und man muss sichvorstellen, was ihr Arbeitgeber dazu sagt. Man wird sehen, dass sichfür viele SteuerzahlerInnen das 'großzügige' Angebot desFinanzministers als PR-Gag entpuppt"", so Riepl Mittwoch gegenüber demSPÖ-Pressedienst. Bei denen, die dem Aufruf des Finanzministersnachkommen und zwei Stunden oder mehr am Finanzamt verschwinden,werde auch der Arbeitgeber nicht erfreut sein"", so RieplsEinschätzung.""Die automatische Überweisung zuviel bezahlter Steuern - eineBringschuld der Finanzämter - wäre dagegen eine echte Verbesserungund als Kundenservice wirklich ""großzügig"", die Aktion Grassers istes nicht!"" stellt Riepl abschließend fest.Rückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖRieplArbeitnehmerveranlagungChannelPolitik"
Gusenbauer: Bahnachse nach Südösterreich unverzichtbar,"SPÖ-Chef bei 102. ""Startklar""-Tag in Wolfsberg",2006-03-08T14:26:33+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0234/gusenbauer-bahnachse-nach-suedoesterreich-unverzichtbar,"SPÖ-Chef bei 102. ""Startklar""-Tag in WolfsbergWolfsberg (SK) - Der Koralmtunnel sei ein ""unverzichtbarerBestandteil einer gesamten Achsenlösung"" und müsse daher""unverzüglich weitergebaut"" werden, betonte SPÖ-Vorsitzender AlfredGusenbauer am Mittwoch bei einer Pressekonferenz, die anlässlich der""Startklar""-Tour im Kärntner Bezirk Wolfsberg stattfand. Es gelte,sich hier nicht an ""schlechten Vorbildern"" zu orientieren, erinnerteGusenbauer daran, dass unter der Verantwortung von Kanzler Schüsselund Landeshauptmann Pröll beim Semmering-Basistunnel 93 MillionenEuro ""in den Sand gesetzt"" wurden. An der Pressekonferenz nahmenweiters teil: die Landesvorsitzende der SPÖ Kärnten, Gaby Schaunig,der Kärntner Landtagsabgeordnete Karl Markut, sowie zweiWirtschaftstreibende aus dem Lavanttal. ****Schüssel und Pröll ""zeigen, wie man Geld beim Fensterhinauswirft"", so Gusenbauer unter Verweis auf einen Bericht desRechnungshofes, der festhielt, dass man sich ""nicht an schlechtenVorbildern"" orientieren dürfe. Primär sei jedenfalls eine""leistungsfähige Achse entlang der Süd- und Westbahn"", hielt derSPÖ-Vorsitzende fest. Überdies könne es nicht sein, ""dass alles aufdem Altar des niederösterreichischen Landeshauptmanns geopfert wird"",hob Gusenbauer hervor.""Haiders Phantasien und Falschbehauptungen""Zum Thema der Ortstafeln übte Gusenbauer harsche Kritik anLandeshauptmann Haider, der hier einmal mehr ""Phantasien und ganzbewusste Falschbehauptungen ins Land setzt"". Offenbar agiere Haidernach dem Motto ""Wie der Schelm ist, so denkt er"", machte Gusenbauerklar. Mit dieser Vorgangsweise ""löst Haider kein Problem"", so derSPÖ-Chef, der in diesem Zusammenhang daran erinnerte, dass es in derOrtstafelfrage längst eine Lösung auf Basis der Ergebnisse derletztjährigen Konsenskonferenz geben könnte, wenn sich derLandeshauptmann von Kärnten ""nicht so aufspielen"" würde.Tag 102 der ""Startklar""-Tour - Gusenbauer freut sich auf""intensive Kontakte mit der Kärntner Bevölkerung""Er genieße den heutigen 102. ""Startklar""-Tag, der bei herrlichemWetter im Kärntner Bezirk Wolfsberg stattfand und freue sich auf""intensive Kontakte mit der Kärntner Bevölkerung"", machte Gusenbauerim Pressegespräch deutlich. Er sei auch nach 18 Monaten""Startklar""-Tour, die ihn durch alle Bezirke Österreichs führt, undrund 43.000 zurückgelegten Kilometern nach wie vor ""frisch und hochmotiviert"" - überdies werde er überall mit viel Sympathie undHerzlichkeit empfangen, ließ der SPÖ-Chef wissen. Am Programm desheutigen ""Startklar""-Tags standen: Besuche der Elmont-Akademie(Lehrlingsausbildung) und der Druckerei Theiss, ein Betriebsbesuchbei der Firma Wech in St. Andrä und eine Besichtigung derKoralmtunnel-Baustelle. Es folgten ein Pressegespräch mit Vertreternlokaler Medien und eine Diskussion mit Wirtschaftstreibenden aus demLavanttal. Ein ""Dialog mit Alfred Gusenbauer"" im KulturstadtsaalWolfsberg rundete das heutige ""Startklar""-Programm ab.Schaunig - Kärntner Lebenssicherung, Vereinbarkeit von Berufund Familie sowie forcierte Lehrlingsausbildung als wichtigePositionen der SPÖ KärntenDie SPÖ Kärnten trete ganz klar für ""gerechte Erwerbsbedingungenfür Frauen und für gleiches Entgelt für Männer und Frauen ein"",unterstrich Gaby Schaunig am heutigen Frauentag. Es sei""beängstigend"", dass ""jede dritte Alleinerzieherin in Kärnten an derArmutsgrenze lebt"", machte Schaunig deutlich und hielt fest, dass dasProjekt der Kärntner Lebenssicherung ein ganz wichtiges Instrumentzur Bekämpfung der Armut sei. Klar sei, dass die derzeitigeBundesregierung nichts gegen die Armut in Österreich unternommenhabe. Auch die Vereinbarkeit von Beruf und Familie sei der SPÖKärnten ein zentrales Anliegen, so Schaunigs Plädoyer für ""qualitativund quantitativ ausreichende Kinderbetreuungsplätze"". Darüber hinaussei es ""notwendig und überaus wichtig, die Lehrlingsausbildung zuforcieren und junge Leute in Berufe zu bekommen"", so Schaunig mitBlick auf die Kärntner Lehrlingsförderung neu, die auf einem trialenAusbildungssystem basiert und so sicherstellt, dass Kärnten mitbestausgebildeten und hoch qualifizierten Jugendlichenkonkurrenzfähig bleibt. (Schluss) mbRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖGusenbauerSchaunigKärntenChannelPolitik"
SPÖ präsentiert Wege aus der Wirtschafts- und Jobkrise in der EU,Mehr private und öffentliche Investitionen notwendig - Binnennachfrage ankurbeln für höheres Wachstum,2006-03-08T13:42:08+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0223/spoe-praesentiert-wege-aus-der-wirtschafts-und-jobkrise-in-der-eu,"Mehr private und öffentliche Investitionen notwendig - Binnennachfrage ankurbeln für höheres WachstumWien (SK) - Sozialdemokratische Alternativen zur EU-Wirtschafts-und Jobkrise haben der Vorsitzende der Sozialdemokratischen ParteiEuropas (SPE), Poul Nyrup Rasmussen, SPÖ-Finanz- und BudgetsprecherChristoph Matznetter und SPÖ-Europasprecher Caspar Einem am Mittwochin einer gemeinsamen Pressekonferenz präsentiert. Aus Sicht dersozialdemokratischen Politiker krankt Europa vor allem an einerschwachen Binnennachfrage und einer zurückbleibenden Massenkaufkraft.Notwendig seien daher vor allem mehr öffentliche und privateInvestitionen, denn das sei der Schlüssel für höheresWirtschaftswachstum und die Schaffung neuer Arbeitsplätze. Dabei seiaber ganz wesentlich, dass es ein koordiniertes Vorgehen dereuropäischen Regierungen gibt. ****Nach Ansicht von SPE-Vorsitzendem Rasmussen ist dasWirtschaftswachstum in Europa viel zu gering. Um neue Jobs zuschaffen, müsste das Wachstum um einiges höher sein. Es müsse daherin den nächsten, vier Jahren in Bildung, aktive Arbeitsmarktpolitikund Infrastruktur investiert werden. Dafür bedürfe es jedoch einerkoordinierten Vorgangsweise der EU-Mitgliedstaaten. ""Zur Zeit schauendie Regierung primär auf sich selbst. Es muss gleichzeitig und aufden gleichen Level vorgegangen und investiert werden"", so Rasmussen.""Es ist absolut notwendig, die Kräfte zu bündeln, dann kanneuropäische Wirtschaftspolitik wirksam sein"", betonteSPÖ-Europasprecher Einem. An Kanzler Schüssel richtete derSPÖ-Europasprecher den Vorwurf, sich immer nur ""in schönen Worten zuergehen"", jedoch keinerlei Initiativen auf nationaler undeuropäischer Ebene zu setzen.Was in Europa fehle, sei die Binnennachfrage, so Einem weiter. Diegroßen exportorientierten Unternehmen würden permanentLohnzurückhaltung einfordern. Dabei werde jedoch außer Acht gelassen,dass jene, die in kleinen und mittleren Unternehmen arbeiten, Geldbenötigen, um sich etwas kaufen zu können. ""Wenn dauernd nurLohnzurückhaltung geübt wird, heißt das, dass die arbeitendenMenschen in Wirklichkeit weniger kriegen und sich weniger leistenkönnen"", betonte Einem.Wenn dies mit Reformen, die die Menschen abgrundtief verunsichern,Hand in Hand gehe, - weil die Arbeitslosenversicherung, dieGesundheitsvorsorge, die Pensionsvorsorge verschlechtert werde -,dann legen die Menschen das wenige Geld, das sie haben, ""auf die hoheKante"", hielt der SPÖ-Europasprecher fest. Dies sei ein Teil deswirtschaftlichen Problems, das Europa in diesen Jahren habe. ""Das,was wir brauchen, ist endlich wieder Vertrauen in die wirtschaftlicheEntwicklung"", unterstrich Einem. Dies sei aus Sicht der kleinen undmittleren Unternehmen äußerst wichtig, denn diese bräuchten mehrNachfrage.Auch SPÖ-Finanzsprecher Matznetter wies auf den Effekt von mehrKaufkraft für die KMU hin. ""Jeder Euro mehr bedeutet einen Euro mehrUmsatz für die KMU"", machte Matznetter deutlich. Dieser Aspekt werdevon den Konservativen jedoch immer außer Acht gelassen. DerSPÖ-Finanzsprecher hielt in dem Zusammenhang auch fest, dass aufpolitischer Ebene die Sozialdemokraten die einzige große politischeKraft in Europa sind, die Ideen und Vorschläge für die ZukunftEuropas haben.""Woran Europa krankt, ist die Politik der rechten Parteien auf demKontinent"", kam Matznetter zum Schluss. Als Beispiel nannte derSPÖ-Finanzsprecher den italienischen Ministerpräsidenten Berlusconi,aber auch die österreichische Regierung. Wenn sich etwaFinanzminister Grasser weiterhin als Befürworter desSteuerwettbewerbs rühme, dann sei dies bezeichnend. DennInvestitionen für Bildung, Forschung und Infrastruktur würden vonGrasser komplett außer Acht gelassen.Die europäische Sozialdemokratie habe aus der Erfahrung derletzten Jahre die richtigen Schlüsse gezogen und sei bereit, aufeuropäischer Ebene die gleiche Verantwortung zu übernehmen wie aufnationaler Ebene: ""nämlich aktiv eine Wirtschafts- und Fiskalpolitikzu machen, die darauf schaut, die Volkswirtschaft, die europäischeWirtschaft auch wirklich zu stimulieren"", unterstrich Matznetter.""Wir sind willens, aktive Politik zu machen, damit das Wachstum amKontinent und den einzelnen Ländern stattfindet, und wir wollen esverknüpfen mit der Frage, dass dieser Zuwachs auch bei allenankommt"", betonte der SPÖ-Finanzsprecher abschließend. (Schluss) psRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖMatznetterEinemRasmussenEUChannelPolitikWirtschaft"
"Cap zur FPÖ-Akademie: Teil eines ""abgekarteten Spiels"" zwischen ÖVP, BZÖ und FPÖ","Wien (SK) - Als Teil eines ""abgekarteten Spiels"" zwischen ÖVP, BZÖ und FPÖ sieht der geschäftsführende SPÖ-Klubobmann Josef Cap die Unterschrift von sechs Abgeordneten des freiheitlichen Parlamentsklubs für...",2006-03-08T13:24:01+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0215/cap-zur-fpoe-akademie-teil-eines-abgekarteten-spiels-zwischen-oevp-bzoe-und-fpoe,"Wien (SK) - Als Teil eines ""abgekarteten Spiels"" zwischen ÖVP, BZÖund FPÖ sieht der geschäftsführende SPÖ-Klubobmann Josef Cap dieUnterschrift von sechs Abgeordneten des freiheitlichenParlamentsklubs für die FPÖ, um dieser die Akademieförderung zusichern. Schüssel erkauft sich durch dubiose Interpretationen, diedie Geldflüsse an BZÖ und FPÖ sichern, eine wackelige Mehrheit fürdas Weiterwurschteln seiner Regierung: die angeblichen Todfeinde BZÖund FPÖ wiederum sind einander plötzlich so feindlich nicht mehrgesinnt, wenn es ums Geld geht, so Cap Mittwoch gegenüber demPressedienst der SPÖ. ****Schüssel und die BZÖ-Abgeordneten sichern durch ihre Vorgangsweisedie Finanzierung der FPÖ, die FPÖ lässt sich das gerne gefallen undsichert den Weiterbestand der Regierung. ""Wieso sollte irgendjemandglauben, dass dieses für alle Beteiligten lukrative Zusammenspielnach den nächsten Nationalratswahlen nicht fortgesetzt würde, wenn esdas Wählervotum erlauben sollte? Alle vorher stattfindendengegenseitigen Distanzierungen sind nichts anderes als schlechtesTheater aufgeführt von schlechten Schauspielern"", schloss Cap.(Schluss) ah/mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖCapFPÖSchüsselChannelPolitik"
Audio-OTS von Matznetter/Einem auf www.spoe.at,Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von SPÖ-Finanz- und Budgetsprecher Christoph Matznetter und SPÖ-Europasprecher Caspar Einem auf der SPÖ-Homepage unter http://www.spoe.at/jump.php?P=261...,2006-03-08T12:57:06+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0196/audio-ots-von-matznettereinem-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonSPÖ-Finanz- und Budgetsprecher Christoph Matznetter undSPÖ-Europasprecher Caspar Einem auf der SPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zur Verfügung. Thema:""Sozialdemokratische Antworten auf die EU-Wirtschaft- und Jobkrise"".**** (Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖAudioMatznetterEinemChannelPolitik"
Elite-Uni: Broukal erfreut über offene Worte von Mittelstraß,ÖVP soll nicht einer Fata Morgana nachlaufen,2006-03-08T12:50:21+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0190/elite-uni-broukal-erfreut-ueber-offene-worte-von-mittelstrass,"ÖVP soll nicht einer Fata Morgana nachlaufenWien (SK) - ""Mit Interesse"" nimmt SPÖ-Wissenschaftssprecher JosefBroukal die offenen Worte von Jürgen Mittelstraß, Sprecher des""National Committees"" für das Projekt Elite-Uni, zur Kenntnis.Mittelstraß bekräftigte heute, dass die Standortentscheidung fürGugging nicht optimal sei und es Versäumnisse beim Verfahren gegebenhabe. ""Mittelstraß hat Recht, wenn er meint, dass nun 'das Beste'daraus gemacht werden muss. Allerdings versteht die SPÖ darunternicht, dass die Idee einer Elite-Uni Gugging suboptimal weitergeführtwird. Vielmehr geht es darum, gemeinsam mit Anton Zeilinger, PeterSchuster und Arnold Schmidt das Projekt einesSpitzenforschungsinstitutes zu optimieren"", so Broukal Mittwochgegenüber dem Pressedienst der SPÖ. ****Der ÖVP rät der SPÖ-Wissenschaftssprecher, ""nicht einer FataMorgana nachzulaufen"". Die SPÖ habe nie gesagt ""Gugging auf keinenFall"", sondern sich gegen das Verfahren rund um die Elite-Uniausgesprochen. Dafür gebe es viele prominente Kronzeugen, vonZeilinger über Schmidt und Schuster bis zu Mittelstraß. Selbst dieLeute, die bei dem Projekt mitarbeiten, kritisieren, dass dasVerfahren alles andere als optimal gelaufen ist. Feststehe: ""Die SPÖschließt Gugging als Standort nicht aus, so wie die ÖVP auspolitischem Jux und Tollerei Wien als Standort ausgeschlossen hat"",so Broukal abschließend. (Schluss) csRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖBroukalElite-UniChannelPolitik"
EU-Grünbuch Energie: Krainer kritisiert fehlende Initiativen gegen Atomkraft,"Grünbuch ""zuwenig ambitioniert""",2006-03-08T12:11:49+01:00,https://www.ots.at/presseaussendung/OTS_20060308_OTS0165/eu-gruenbuch-energie-krainer-kritisiert-fehlende-initiativen-gegen-atomkraft,"Grünbuch ""zuwenig ambitioniert""Wien (SK) - Als ""zuwenig ambitioniert"" kritisiertSPÖ-Umweltsprecher Kai Jan Krainer das heute präsentierte Grünbuchder EU-Kommission zur Energiepolitik. Vor allem fehlen eindeutigeenergiepolitische Ziele. Wenig initiativ sei auch die österreichischeRatspräsidentschaft. ""Umweltminister Pröll hat angekündigt, diePräsidentschaft für Anti-AKW-Initiativen zu nützen. Darauf warten wirseit Monaten"", so Krainer am Mittwoch gegenüber dem SPÖ-Pressedienst.****Die SPÖ fordere schon seit längerem, dass das Augenmerk in derEnergiepolitik vor allem auf Energieeffizienz gelegt werden müsse.Priorität haben muss aus Sicht des SPÖ-Umweltsprechers Energiesparen,weiters müsse die Vielfalt des Energieangebots ausgebaut werden und- ganz zentral - die Energiekosten müssten leistbar sein. TrotzAnsätzen in diese Richtung im EU-Grünbuch seien die konkreten Zieleund Maßnahmen aber nur schwammig und unverbindlich formuliert,kritisiert Krainer.Von Umweltminister Pröll fordert Krainer, entschlossener gegeneine Renaissance der Atomkraft in Europa aufzutreten. ""Atomkraft darfin Europa keine Zukunft haben. Ich fordere daher die Regierung auf,die während der österreichischen EU-Präsidentschaft angekündigtenInitiativen für einen europaweiten Atomausstieg endlich einzuleiten"",so Krainer abschließend. (Schluss) ahRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT UNTER AUSSCHLIESSLICHER INHALTLICHER
VERANTWORTUNG DES AUSSENDERS | SPKprintStichworteSPÖKrainerUmweltEnergieEUGrünbuchChannelPolitik"
