Titel,Teaser,Datum,Link,Inhalt
Oberhauser: SPÖ erwartet sich von Ex-Spitalsmanagerin Kdolsky mehr Professionalität,Kdolsky sollte sich an Gabi Burgstallers Gesundheitsmasterplan 2020 orientieren,2007-08-29T14:00:39+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0216/oberhauser-spoe-erwartet-sich-von-ex-spitalsmanagerin-kdolsky-mehr-professionalitaet,"Kdolsky sollte sich an Gabi Burgstallers Gesundheitsmasterplan 2020 orientierenWien (SK) - ""Mit dem unkoordinierten und undurchdachtenVorpreschen und anschließenden Zurückrudern Kdolskys ist demösterreichischen Gesundheitswesen nicht geholfen"", kritisierteSPÖ-Gesundheitssprecherin Sabine Oberhauser die chaotischeVorgangsweise der ÖVP-Ministerin. ""Die SPÖ erwartet sich von derehemaligen Top-Spitalsmanagerin mehr Professionalität"", so Oberhauseram Mittwoch gegenüber dem SPÖ-Pressedienst. ****Kdolksy könnte sich ein Beispiel an Salzburgs Landeshauptfrau GabiBurgstaller nehmen, die soeben einen Gesundheitsmasterplan fürSalzburg bis 2020 vorgelegt hat, mit einem modernem Konzept, daserhebliche Einsparungen ermöglicht, die jedoch nicht zu Lasten derPatienten gehen, so Oberhauser.""Es ist richtig, dass Reibungsverluste zu minimieren undVerbesserungen in Struktur und Organisation zu schaffen sind. Hierist jedoch ein koordiniertes und strukturiertes Vorgehen notwendig.Dies darf aber nicht zu Lasten der PatientInnen gehen und das ist,wie Gabi Burgstaller vorzeigt, auch nicht notwendig"", so Oberhauser.(Schluss) slRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖOberhauserGesundheitKdolskyChannelPolitik"
SPÖ-Bayr kritisiert verbale Entgleisung Molterers gegen Wabl,Bayr zu UNO-Studie - Ausbau der Atomkraft gegen Klimawandel führt auf den Holzweg,2007-08-29T13:15:32+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0196/spoe-bayr-kritisiert-verbale-entgleisung-molterers-gegen-wabl,"Bayr zu UNO-Studie - Ausbau der Atomkraft gegen Klimawandel führt auf den HolzwegWien (SK) - ""Die Empfehlung der UNO-Klimakonferenz, den Ausbau derAtomkraft als Maßnahme gegen den Klimawandel zu forcieren, führt aufeinen Holzweg"", so SPÖ-Umweltsprecherin Petra Bayr am Mittwochgegenüber dem SPÖ-Pressedienst. Angesichts dieser Entwicklungen,denen Landwirtschaftsminister Josef Pröll in der aktuellen Debattenichts entgegensetzt, ist es gut, dass Bundeskanzler Gusenbauer mitAndreas Wabl einen echten Experten zum Klimaschutzbeauftragtengemacht hat. Als ""verbale Entgleisung und bar jeder politischerUsance"" bewertete Bayr die Aussagen von Vizekanzler Molterer imgestrigen ORF-Sommergespräch, wo er sagte, ""der Kanzler habe sich mitWabl etwas in den Pelz gesetzt"" und ihn damit als Ungezieferbezeichnet. ****""Österreich muss gemeinsam mit anderen Ländern schauen, dass man aufinternationaler Ebene Allianzen schmiedet und Überzeugungsarbeitleistet, damit beim Kampf gegen den Klimawandel ein zukunftsweisenderWeg beschritten wird."" Es sei sinnvoll, in effiziente Energienutzungund Energieeinsparung zu investieren und mit der Energieproduktionaus erneuerbaren Rohstoffe gegen den Klimawandel vorzugehen. DieAtomenergie berge ein zu hohes Risiko, das schwer einschätzbar istund sei auch ökologisch nicht nachhaltig, so dieSPÖ-Umweltsprecherin. (Schluss) slRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBayrUmweltKlimaschutzChannelPolitik"
Swoboda kritisiert UNO-Empfehlung zu Ausbau der Kernenergie,"""Fragen der Sicherheit sind nach wie vor ungelöst""",2007-08-29T13:09:26+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0193/swoboda-kritisiert-uno-empfehlung-zu-ausbau-der-kernenergie,"""Fragen der Sicherheit sind nach wie vor ungelöst""Wien (SK) - Die gestern bekannt gewordenen Empfehlungen der UNO,dem Klimawandel mit drastischen Umschichtungen der EnergieInvestitionen, vor allem mit einem verstärkten Ausbau der Kernenergiezu begegnen, wird vom SPÖ-Europaabgeordneten Hannes Swoboda starkkritisiert. ""Die Empfehlungen der UNO nach einem massiven Ausbau derKernenergie sind extrem unverantwortlich und mit großen Risiken fürdie Umwelt verbunden. Viele Fragen der Sicherheit, insbesondere dieEndlagerung, sind nach wie vor ungelöst"", so Swoboda am Mittwochgegenüber dem Pressedienst der SPÖ. ****""Die jüngsten Vorfälle haben nicht zuletzt auch die Mängel bei derInformationsweitergabe deutlich gemacht"", so Swoboda als Mitglied desIndustrie- und Energieausschusses des Europäischen Parlaments.Weiters weist der Europaabgeordnete darauf hin, dass auch diepräventiven Maßnahmen und die Kontrollen hinsichtlich der Nutzung derBrennstoffe für militärische Zwecke völlig unzureichend seien.""Durch den Ausbau der Kernenergie werden außerdem die Bemühungenum neue Technologien zur Verbesserung der Effizienz bei derKohleverbrennung und die Nutzung dauerhafter Formen derEnergieproduktion gefährdet"", befürchtet Swoboda. ""Es wird schwierigwerden, den Ausbau der Kernenergie gänzlich zu vermeiden. Anstattdiesen allerdings ausdrücklich zu empfehlen, wäre es an der Zeit,dass sich die UNO, aber natürlich auch die EU auf den Ausbau derSicherheitsmaßnahmen konzentrieren"", so Swoboda abschließend.(Schluss) up/mp/mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖSwobodaKernenergieChannelPolitik"
Parnigoni an Platter: Sicherheit und Geld der Österreicher haben Priorität,"Rechnungshof sieht 500 Mio. Einsparungspotential, Platter ist säumig",2007-08-29T11:56:08+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0152/parnigoni-an-platter-sicherheit-und-geld-der-oesterreicher-haben-prioritaet,"Rechnungshof sieht 500 Mio. Einsparungspotential, Platter ist säumigWien (SK) - ""Der Rechnungshof sieht 500 Millionen Euro anjährlichem Einsparungspotential im Bereich der inneren Sicherheit.Sieben Monate nach Beginn der neuen Legislaturperiode gibt es keinekonkreten Umsetzungsschritte"", kritisierte SPÖ-SicherheitssprecherRudolf Parnigoni am Mittwoch in einer Pressekonferenz. AnFinanzminister Molterer und Innenminister Platter appellierte er, dievereinbarten Punkte des Regierungsprogramms endlich zügig umzusetzen.""Es geht um die Sicherheit der Österreicher und es geht um vielGeld"", so Parnigoni. Außerdem wies Parnigoni darauf hin, dass esgroße Unsicherheit in der Exekutive gebe, weil vier Monate vorVerlegung der Schengengrenze nicht klar sei, was mit den 2.900Beamten passiere, die aktuell im Grenzbereich tätig sind. ****Platter, so Parnigoni, betreibe vor allem Ankündigungspolitik. DerSPÖ-Sicherheitssprecher nannte als Beispiel dieFliegerbombenproblematik in Salzburg oder die Errichtung derSexualstraftäterdatei. Geschehen sei nichts, so Parnigoni. Zubefürchten sei nun, dass von Platter auch das vom Rechnungshoferrechnete Einsparungspotential von 500 Millionen Euro im Bereich derInneren Sicherheit nicht genutzt werde. Allein 37 Millionen Euro, soParnigoni, könnten eingespart werden, wenn die Asylverfahren um einJahr beschleunigt würden. In diesem Zusammenhang erinnerte derSPÖ-Sicherheitssprecher auch daran, dass es im Jahr 2005 eineneinstimmigen Beschluss im Parlament gegeben habe, einen Asyl-Berichtvorzulegen, zwei Jahre später, im Jahr 2007 liege dieser noch immernicht auf dem Tisch.""Ganze 420 Millionen Euro jährliches Einsparungspotential sieht derRechungshof in der Kriminalprävention"", legte Parnigoni dar. Diesevolkswirtschaftlich bedeutende Summe könnte eingespart werden, wennmehr Polizisten auf der Straße eingesetzt würden, mehr inGewaltprävention oder auch Verkehrserziehung investiert würde.""Weitere 42 Millionen Euro"", so Parnigoni, ""könnten derVolkswirtschaft durch eine verstärkte Kontrolle der schweren LKWeingespart werden."" In den letzten Jahren ÖVP-geführter Regierungseien auf Kosten der Sicherheit der Österreicher 3.000 Polizisteneingespart worden, anstatt vermehrt etwa die Ruhezeiten derSchwertransporter zu kontrollieren und so Unfälle zu verhindern.Dringenden Handlungsbedarf sieht der SPÖ-Sicherheitssprecher auchhinsichtlich der Veränderung der Schengen-Grenzen. ""2.900österreichische Polizistinnen und Polizisten, die heute imGrenzeinsatz tätig sind, wissen nicht, was sie Anfang 2008 erwartet"",kritisierte Parnigoni. Der SPÖ-Abgeordnete regte mehr Streifendienstan, um das Sicherheitsgefühl der Österreicher zu stärken, auchkönnten mehr Beamte in den Ballungsräumen eingesetzt werden. Jedochsei bislang weder mit den Beamten, noch mit deren Personalvertretunggesprochen worden, so Parnigoni. ""Es ist noch vier Monate Zeit biszur Verlegung der Schengengrenze. Wann wird Minister Platter endlichmit den PolizistInnen, mit den Personalvertretern reden"", fragteParnigoni. Auch gebe es bisher nicht einmal ein Nachnutzungskonzeptfür die Grenzanlagen und die Gebäude der Exekutive an der Grenze.""Platter soll endlich an die Arbeit gehen, im Sinne der Sicherheitund der Steuergeldes der österreichischen Bevölkerung"" (Schluss) gdRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖParnigoniInneresSicherheitPersonalRechnungshofChannelPolitik"
"Morgen Donnerstag, 30. August: Keck - Pressekonferenz um 11 Uhr","Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien an folgenden Termin zu erinnern: SPÖ-Tierschutzsprecher Dietmar Keck präsentiert in einer Pressekonferenz Bilanz für den heimische Tierschutz und Ausblick...",2007-08-29T11:34:15+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0131/morgen-donnerstag-30-august-keck-pressekonferenz-um-11-uhr,"Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien anfolgenden Termin zu erinnern: SPÖ-Tierschutzsprecher Dietmar Keckpräsentiert in einer Pressekonferenz Bilanz für den heimischeTierschutz und Ausblick auf die weiteren Vorhaben. ****Zeit: Morgen Donnerstag, 30. August 2007, 11 UhrOrt: Parlament, SPÖ-Stützpunktzimmer(Schluss) mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖKeckTerminChannelPolitik"
Swoboda: Europäische Sozialdemokraten bezweifeln Sinnhaftigkeit des Raketenabwehrschilds,"Wien (SK) - In der Debatte um das geplante Raketenabwehrsystem der USA in EU-Mitgliedstaaten weist der Vizevorsitzende der SPE-Fraktion im Europäischen Parlament, Hannes Swoboda, darauf hin, dass kritische Stimmen...",2007-08-29T09:42:36+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0050/swoboda-europaeische-sozialdemokraten-bezweifeln-sinnhaftigkeit-des-raketenabwehrschilds,"Wien (SK) - In der Debatte um das geplante Raketenabwehrsystem derUSA in EU-Mitgliedstaaten weist der Vizevorsitzende der SPE-Fraktionim Europäischen Parlament, Hannes Swoboda, darauf hin, dass kritischeStimmen nicht nur im österreichischen Verteidigungsministerium zuhören sind. ""Norbert Darabos ist mit seiner kürzlich geäußertenkritischen Sichtweise bei weitem nicht allein. Auch weite Kreise dereuropäischen Sozialdemokratie bezweifeln die Sinnhaftigkeit undEffektivität dieses Vorhabens"", meint der Swoboda, der diesesUnterfangen bereits vor mehreren Monaten öffentlich hinterfragt hat.****""Die sorgenvollen Äußerungen sind vor allem vor dem Hintergrundder Bedenken über ein neuerliches Wettrüsten erklärbar. Es ist dahergeradezu die Pflicht österreichischer Regierungsmitglieder, dieseBesorgnis zum Ausdruck zu bringen"", so Swoboda, der vor allem auchden Alleingang der USA mit einzelnen Mitgliedstaaten der EUkritisiert. ""Vereinbarungen zwischen einzelnen EU-Mitgliedsstaatenund den USA können negative Rückwirkungen auf die anderenEU-Mitgliedsländer haben und widersprechen dem Prinzip einersolidarischen Sicherheitspolitik. Gerade Österreich sollte daher aufeine Konsenslösung innerhalb Europas drängen. Alles anderewiderspricht den Interessen unserer Bürger."" (Schluss) psRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖSwobodaEUUS-RaketenschildChannelPolitik"
Stadlbauer: Halbe-Halbe für Kdolsky ein Fremdwort,Familienministerin schiebt Verantwortung von sich,2007-08-29T09:33:22+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0046/stadlbauer-halbe-halbe-fuer-kdolsky-ein-fremdwort,"Familienministerin schiebt Verantwortung von sichWien (SK) - ""Frauenpolitik ist eindeutig ein rotes Tuch fürFamilienministerin Kdolsky"", meinte SPÖ-Bundesfrauengeschäftsführerinund Nationalratsabgeordnete Bettina Stadlbauer am Mittwoch gegenüberdem SPÖ-Pressedienst in Reaktion auf die vehemente Ablehnung vonKampagnen wie Halbe-Halbe im heutigen Standard durch dieFamilienministerin. ****""Den Frauen die ganze Schuld am Umgang mit den Männern in dieSchuhe zu schieben, ist doch schon lange überholt"", sagte Stadlbauer.Damit stellt sie doch ihre Funktion als Familienministerin in Frage.Vor wenigen Tagen wurden noch die Gesundheitsdaten derÖsterreicherInnen präsentiert. ""Aus diesen geht deutlich hervor, dassFrauen an der Doppel- und Dreifachbelastung auch gesundheitlichleiden. Der Familien- und Gesundheitsministerin ist dasoffensichtlich egal"", so Stadlbauer, sonst könnte sie nicht allepolitische Verantwortung von sich schieben. Noch dazu gehe sie - wiesie selber sagt - ""in Saft"", wenn die Politik hier eingreifen soll.Dass Kdolsky gleich auswandern möchte, wenn Kampagnen wieHalbe-Halbe durchgeführt werden, belustigt Stadlbauer. ""Wir geben ihralle unsere guten Wünsche auf den Weg"", meinte Stadlbauer.""Vielleicht ist Kdolsky im Privatleben besser aufgehoben. Politikscheint jedenfalls nicht ihre große Stärke zu sein"", meinteStadlbauer abschließend. (Schluss) up/mpRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖStadlbauerKdolskyFrauenÖVPChannelPolitik"
Heute Mittwoch: Parnigoni - Pressekonferenz um 10 Uhr,"Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien an folgenden Termin zu erinnern: SPÖ-Sicherheitssprecher Rudolf Parnigoni nimmt in einer Pressekonferenz zu aktuellen Fragen der inneren Sicherheit Stellung....",2007-08-29T09:16:24+02:00,https://www.ots.at/presseaussendung/OTS_20070829_OTS0038/heute-mittwoch-parnigoni-pressekonferenz-um-10-uhr,"Wien (SK) - Wir erlauben uns, die VertreterInnen der Medien anfolgenden Termin zu erinnern: SPÖ-Sicherheitssprecher RudolfParnigoni nimmt in einer Pressekonferenz zu aktuellen Fragen derinneren Sicherheit Stellung. ****Zeit: Heute Mittwoch, 29. August 2007, 10 UhrOrt: Parlament, SPÖ-Stützpunktzimmer(Schluss) mmRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖTerminParnigoniChannelPolitik"
Niederwieser: OECD-Empfehlungen decken sich mit Vorstelllungen der SPÖ,"Appell an ÖVP, sich auch an zukunftsweisenden Papieren zu orientieren",2007-08-28T14:09:50+02:00,https://www.ots.at/presseaussendung/OTS_20070828_OTS0201/niederwieser-oecd-empfehlungen-decken-sich-mit-vorstelllungen-der-spoe,"Appell an ÖVP, sich auch an zukunftsweisenden Papieren zu orientierenWien (SK) - Als Bestätigung für die bildungspolitischenSchwerpunktsetzungen der SPÖ sieht SPÖ-Bildungssprecher ErwinNiederwieser einen aktuellen Bericht der OECD. ""Eigentlich sind alle10 Punkte Bestandteil unserer bildungspolitischen Vorhaben und Ziele,wie sie auch im Bildungsprogramm stehen, und sie decken sich auch -soweit es sich um dieselbe Thematik handelt - mit denHandlungsvorschlägen der Zukunftskommission"", so Niederwieser amDienstag gegenüber dem SPÖ-Pressedienst. Auch BundeskanzlerGusenbauer und Unterrichtsministerin Schmied hätten heute im Rahmender SPÖ-Präsidiumsklausur - wie auch die OECD - auf die zu früheSelektion in unserem Schulsystem hingewiesen. ****Bei vielen Punkten sei es der SPÖ gelungen, sie auch imKoalitionspapier zu verankern, hielt der SPÖ-Bildungssprecher fest.Niederwieser nannte unter anderem ""Fördern statt Sitzenbleiben"",gerechtere Bildungschancen für alle Kinder durch eine spätereTrennung in verschiedene Schultypen oderdie Wichtigkeit der vorschulischen Förderung. Die OECD sehe dasprimär vom Gesichtspunkt der Qualifikation der Bevölkerung als Basisfür wirtschaftliche Konkurrenzfähigkeit und unter dem Aspektvergeudeter Ressourcen (z.B. bei den Klassenwiederholungen). Für dieSPÖ kämen als ebenso wichtige Aspekte die Chancengleichheit und dieFähigkeit zur Teilnahme am gesellschaftliche und politischen Lebenhinzu (""mündige, informierte Bürgerinnen und Bürger"").Es sei dies nicht der erste derartige Bericht, auch in denPISA-Detailauswertungen finden sich derartige Überlegungen ebenso wieim Papier der EU-Kommission zu ""Effizienz und Gerechtigkeit in deneuropäischen Systemen der allgemeinen und beruflichen Bildung"", soNiederwieser. Abschließend äußerte der SPÖ-Bildungssprecher denWunsch, dass sich auch die ÖVP-Perspektivengruppen ""mehr an diesenzukunftsweisenden Papieren orientieren und die vertrautenSchützengräben bildungspolitischer Gefechte verlassen"". (Schluss) psRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖNiederwieserSchuleOECDChannelPolitik"
Grossmann: Projekt 'Politische Bildung' läuft auf Hochtouren,Ein Jahrzehnt Gehrer'sche Rückschrittspolitik lässt sich nicht mit einem Federstrich beseitigen,2007-08-28T13:22:30+02:00,https://www.ots.at/presseaussendung/OTS_20070828_OTS0182/grossmann-projekt-politische-bildung-laeuft-auf-hochtouren,"Ein Jahrzehnt Gehrer'sche Rückschrittspolitik lässt sich nicht mit einem Federstrich beseitigenWien (SK) - Nicht nachvollziehen kann SPÖ-Kinder- undJugendsprecherin Elisabeth Grossmann die Kritik der Grünen an derUmsetzung der politischen Bildung im schulischen und außerschulischenBereich. ""Das Projekt 'Politische Bildung' läuft auf Hochtouren. Esgibt ein klares Regierungsbekenntnis dazu, politische Bildung nachvorne zu verlegen. Daran wird gearbeitet"", sagte Grossmann amDienstag gegenüber dem SPÖ-Pressedienst. So werde beispielsweise imHerbst eine interministerielle Regierungsinitiative mit einerBewusstseinskampagne starten. ****Aber es gebe auch bereits bestehende Initiativen, wie etwa dieDemokratiewerkstatt, getragen von Nationalratspräsidentin BarbaraPrammer, die Kindern- und Jugendlichen in altersgerechter FormEinblicke in das parlamentarische Geschehen und das Funktionieren derDemokratie vermittelt. ""Auch läuft bereits ein Demokratiedialog mitüber 200 ExpertInnen - die Ergebnisse dieses Prozesses sindabzuwarten, bevor weitere Maßnahmen im schulischen Bereich gesetztwerden, denn es macht keinen Sinn, mit undurchdachten Schnellschüssenvorzugehen"", sagte Grossmann, die auch betonte, dass es gelte,Schülerinnen und Schüler nicht mit zusätzlichem Prüfungsstoff zuüberfrachten. Hier müsse man auch eine Lehrplanentrümpelung andenken,will man ein zusätzliches Unterrichtsfach einführen. Und auch amBereich der von den Grünen geforderten Ausbildung der LehrerInnenwerde bereits intensiv im Bildungsministerium gearbeitet.""Der Aufholbedarf nach mehr als einem Jahrzehnt Gehrer'scherRückschrittspolitik lässt sich nicht mit einem Federstrichbeseitigen. Hier ist zu akzeptieren, dass es sich um einen Prozesshandeln muss, um zu einem für alle Beteiligten und vor allem für dieJugendlichen befriedigenden Ergebnis zu kommen"", so Grossmannabschließend. (Schluss) upRückfragehinweis:SPÖ-Bundesorganisation, Pressedienst, Tel.: 01/53427-275,Löwelstraße 18, 1014 Wien,http://www.spoe.at/online/page.php?P=100493OTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGrossmannSchulePolitische BildungChannelPolitik"
