Titel,Teaser,Datum,Link,Inhalt
Audio-OTS von Gusenbauer/Häupl/Burgstaller auf www.spoe.at,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von SPÖ-Vorsitzendem Alfred Gusenbauer, dem Wiener Bürgermeister Michael Häupl sowie der Salzburger Landeshauptfrau Gabi Burgstaller auf der SPÖ-Homepage...",2006-08-25T19:03:53+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0215/audio-ots-von-gusenbauerhaeuplburgstaller-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonSPÖ-Vorsitzendem Alfred Gusenbauer, dem Wiener Bürgermeister MichaelHäupl sowie der Salzburger Landeshauptfrau Gabi Burgstaller auf derSPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zurVerfügung. Thema: ""SPÖ-Wahlkampfauftakt"". **** (Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖAudioGusenbauerChannelPolitik"
Großartige Stimmung und über 3.000 Besucher beim Wahlkampfauftakt der SPÖ in der Wiener Stadthalle,"""Nothing's Gonna Stop Us Now""",2006-08-25T17:48:47+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0211/grossartige-stimmung-und-ueber-3000-besucher-beim-wahlkampfauftakt-der-spoe-in-der-wiener-stadthalle,"""Nothing's Gonna Stop Us Now""Wien (SK) - Über 3.000 BesucherInnen, großartige Stimmung und einfulminanter Einzug von SPÖ-Vorsitzendem Alfred Gusenbauer unterstanding ovations - die SPÖ startete am Freitag Nachmittag mit einergroßen Auftaktverstaltung in der Wiener Stadthalle in dieIntensivphase des Wahlkampfs unter dem Motto ""Neue Fairness brauchtdas Land"". Musikalisch sorgten die Edlseer, OPUS und Rondo Vienna fürStimmung, inhaltlicher Höhepunkt ist die Rede desSPÖ-Kanzlerkandidaten Alfred Gusenbauer. ****Moderatorin Andrea Schurian konnte unter den zahlreichen Gästenviel Prominenz begrüßen, darunter die LH-Leute Michael Häupl, GabiBurgstaller, Hans Niessl und Franz Voves, der sich allerdingsverspätete, sowie die SP-Länderchefs Gaby Schaunig (Kärnten), HannesGschwentner (Tirol) und Heidemaria Onodi (Niederösterreich); weitersunter den Gästen: die II. NR-Präsidentin, SPÖ-FrauenvorsitzendeBarbara Prammer und die ehemalige Frauenministerin Johanna Dohnal.Zu den Klängen von Starships ""Nothing's Gonna Stop Us Now"" zogschließlich SPÖ-Vorsitzender Alfred Gusenbauer in den Saal ein. Fürmusikalische Höhepunkte sorgten die Edlseer, die ihren Siegersong fürFranz Voves ""Wenn du willst, kannst du siegen"" Alfred Gusenbauerwidmeten, sowie Opus mit ""Life is life"".Der Schauspieler Harald Krassnitzer erläuterte im Gespräch mitAndrea Schurian, warum er bei der kommenden Wahl die SPÖ und AlfredGusenbauer wählen wird: ""Alfred Gusenbauer ist der erste Politiker,der nach Bruno Kreisky wieder zu den Menschen geht. Ich habe selteneinen Menschen gesehen, der so integer ist wie Alfred Gusenbauer. Ersetzt sich nie für sich, sondern immer für die anderen Menschen ein.Von Alfred Gusenbauer als Kanzler erwarte ich mir, dass er eine faireGesellschaft bauen wird."" (Forts.) csRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖWahlkampfauftaktChannelPolitik"
Grossmann zu Schloss Lannach: Blinder Fleck in der Geschichte kein Geheimnis - größere Sensibilität gefordert,"Wien (SK) - Die steirische SPÖ-Abgeordnete Elisabeth Grossmann hielt heute fest, dass es in der Region Weststeiermark wie auch in Fachkreisen kein Geheimnis war, dass das von Bartenstein bewohnte Schloss in den...",2006-08-25T14:47:39+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0181/grossmann-zu-schloss-lannach-blinder-fleck-in-der-geschichte-kein-geheimnis-groessere-sensibilitaet-gefordert,"Wien (SK) - Die steirische SPÖ-Abgeordnete Elisabeth Grossmannhielt heute fest, dass es in der Region Weststeiermark wie auch inFachkreisen kein Geheimnis war, dass das von Bartenstein bewohnteSchloss in den Jahren 1944 bis '45 als Außenlager des KZ Mauthausengenutzt wurde. Die von Bartenstein nun in Auftrag gegebene Studiewird hoffentlich alle Details aufzeigen, betonte Grossmann. Eineangemessene Würdigung des Schicksals dieser Frauen ist das mindestewas man erwarten kann. ****Grossmann wies weiters darauf hin, dass es hoch an der Zeit sei,diesen dunklen Fleck aufzuarbeiten. Der Hinweis, dass das Unternehmenbis 1966 lediglich eingemietet war tut dabei wenig zur Sache.Tatsache ist, dass seit langem bekannt war, dass es einen ""blindenFleck"" in der Geschichte des Schlosses gibt. Es ist zu hoffen, dassdieser Teil der Geschichte nun restlos aufgeklärt werden kann,schloss Grossmann. (Schluss) js/mmRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGrossmannBartentseinLannachGeschichteChannelPolitik"
Lackner zu Lopatka: ÖVP ist die Zusperr-Partei,"Wien (SK) - ""Wie der Schelm ist, so denkt er"", so kommentierte SPÖ-Gesundheitssprecher Manfred Lackner die Reaktion von ÖVP-Generalsekretär Lopatka auf die Feststellung von SPÖ-Vorsitzendem Gusenbauer, dass...",2006-08-25T14:25:22+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0173/lackner-zu-lopatka-oevp-ist-die-zusperr-partei,"Wien (SK) - ""Wie der Schelm ist, so denkt er"", so kommentierteSPÖ-Gesundheitssprecher Manfred Lackner die Reaktion vonÖVP-Generalsekretär Lopatka auf die Feststellung von SPÖ-VorsitzendemGusenbauer, dass man im Gesundheitssystem beträchtlicheEffizienzsteigerungen realisieren kann. ""Lopatka denkt natürlichsofort ans Zusperren - weil das ja tatsächlich das war, was die ÖVPin den letzten sechs Jahren bis zum Exzess gemacht hat"", sagteLackner am Freitag gegenüber dem SPÖ-Pressedienst. ""Die ÖVP hattausend Postämter, 120 Gendarmerieposten und 40 Bezirksgerichte sowiezahlreiche Regionalbahnen zusperren lassen."" **** (Schluss) wfRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖLacknerGesundheitLopatkaChannelPolitik"
Pflege - Bures: ÖVP tritt auf der Stelle,"Wien (SK) - Sechs Jahre lang habe die ÖVP die immer größer werdenden Probleme im Pflegesektor ignoriert, ""allein beim Versuch, diese existenziellen Sorgen vieler Menschen unter den Teppich zu kehren, hat die...",2006-08-25T14:04:11+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0166/pflege-bures-oevp-tritt-auf-der-stelle,"Wien (SK) - Sechs Jahre lang habe die ÖVP die immer größerwerdenden Probleme im Pflegesektor ignoriert, ""allein beim Versuch,diese existenziellen Sorgen vieler Menschen unter den Teppich zukehren, hat die ÖVP eine gewisse Aktivität entfaltet"", sagteSPÖ-Bundesgeschäftsführerin Doris Bures. Für sie ist dieHilflosigkeit der Regierung in dieser Frage ""beschämend"". ""Die ÖVPtritt mit den immer gleichen Vorschlägen auf der Stelle"", so Bures zuden Vorschlägen von Wirtschaftsminister Bartenstein nach dem heutigenSozialpartnergespräch. ****Die von Kanzler Schüssel und Wirtschaftsminister Bartensteingeforderte bloße Legalisierung von ausländischen Pflegekräften nachdem Ausländerbeschäftigungsgesetz werde am Problem, dass sich unterden derzeitigen Bedingungen legale Pflege nur jemand mit demEinkommen eines Bundeskanzlers leisten könnte, nichts ändern. Damitist den Menschen, die Betreuung und Pflege zu legalen Bedingungenwollen, nicht geholfen, erklärte Bures. ""Das ist das Problem beidieser Regierung: dass sie immer nur herumpfuscht, ohne eineGesamtlösung zu suchen"", so Bures.Die SPÖ will im Interesse der Betroffenen und ihrer Familien eineechte Lösung mit einem Bündel an Maßnahmen, so Bures. ""Pflege darfkeine Frage des Einkommens oder des Vermögens sein. Pflege ist ausSicht der SPÖ ein Grundrecht und muss in öffentlicher Verantwortungliegen, damit jeder und jede Pflegebedürftige die Versorgung bekommt,die gebraucht wird."" Das SPÖ-Modell sieht den Ausbau einerflächendeckenden mobilen Pflege und des Angebots anKurzzeitpflegeangeboten, die Unterstützung der pflegendenAngehörigen, die Pflegekarenz, die Valorisierung des Pflegegeldes undeinen bundesweiten, mit 200 Millionen Euro dotierten Pflegefonds vor.(Schluss) seRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBuresSozialesPflegeChannelPolitik"
Berger fordert Engagement der EU im Bereich Fußball,Ungerechtigkeiten im Fußball müssen beseitigt werden,2006-08-25T13:29:31+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0154/berger-fordert-engagement-der-eu-im-bereich-fussball,"Ungerechtigkeiten im Fußball müssen beseitigt werdenWien (SK) - ""Um die Attraktivität des Fußballs für diesportbegeisterten europäischen Bürger zu erhalten, muss dieEuropäische Union jetzt handeln"", betonte die Delegationsleiterin derSPÖ-Abgeordneten zum Europäischen Parlament Maria Berger am Freitagim Rahmen einer Pressekonferenz. Ungleichheiten wie unterschiedlichefinanzielle Ausstattung der Klubs, verschiedene nationalstaatlicheRegelungen und kriminelle Vorkommnisse rund um den Fußball machendeutlich, dass Handlungsbedarf besteht. Eine von der britischenEU-Präsidentschaft in Auftrag gegebene Studie zur Lage deseuropäischen Fußballs habe den Anstoß zur länder- undparteienübergreifenden Initiative gegeben, so Berger. ""Sport ist einBereich, in dem sich die Politik nur in geringem Maße einzumischenhat"", bemerkte Berger. Jedoch gebe es einige Belange, die durchausauf EU-Ebene zu regeln wären. Dies würde auch von Verbänden und Klubsbegrüßt. ""Die Beteiligten wollen, dass die EU tätig wird"",unterstrich die EU-Abgeordnete. ****Ein besonderes Problem sei, so Berger, dass die Schere derWirtschafts- und Finanzkraft der einzelnen Klubs und Ligen immerweiter auseinander gehe. Mehr als die Hälfte der Fußballeinnahmenentfalle auf die großen fünf Fußballnationen (Frankreich, Spanien,Italien, Deutschland und England). Es sei jedoch von einemSportprofessor nachgewiesen worden, dass zu zwei Drittel diefinanzielle Ausstattung der Klubs über den Erfolg entscheide. AuchPrämiensysteme innerhalb der Champions League hätten dieUngleichheiten verstärkt, betonte die SPÖ-Politikerin.Massive Unterschiede gebe es auch bei nationalen Regelungen zurVermarktung von Übertragungsrechten. Es sei entscheidend ob sich dieKlubs selbst vermarkten müssen oder nicht. Bayern München verfüge imVergleich zu Juventus Turin über nur ein Fünftel der Einnahmen ausÜbertragungsrechten. Auch die Größe des Heimmarktes sei entscheidendfür die Einnahmen aus Fernsehrechten. Klubs mit großen nationalenMärkten würden sich zu etwa einem Drittel aus den Einnahmen durchFernsehrechte finanzieren.Ebenfalls Handlungsbedarf bestehe im Bereich von kriminellenAktivitäten rund um den Fußball. Zwar sei hier schon in einigenBereichen eine Zusammenarbeit zu orten, allerdings gebe es noch immerLücken, hielt Berger fest. Insbesondere die Nichteinhaltung desArbeitsrechts sei problematisch. Erhebungen hätten ergeben, dass 50Prozent der Spieler ohne arbeitsrechtliche Absicherung eingesetztwürden.""Die EU hat derzeit keine Kompetenz für Gesetze im Sport"",kritisierte Berger. Es würden allgemeine Regelungen wie dieFreizügigkeit und die Nichtdiskriminierung auch im Bereich des Sportsgelten. Dieser Umstand würde jedoch dazu führen, dass an sichbegrüßenswerte Regelungen wie die neue UEFA-Mindestquote für ""homegrown Players"" vor dem EUGH eventuell keinen Bestand hätten. Eineweitere große Unsicherheit für den europäischen Fußball sei der zuerwartende Wegfall des Lotterie- und Glücksspielmonopols, daFinanzierungslücken zu erwarten seien, konstatierte dieEU-Abgeordnete.Der EU-Aktionsplan umfasse unter anderem Elemente wie die Einführungvon zentralen Vermarktungssystemen und ein verstärkterSolidarausgleich zwischen reichen und armen Klubs. Überdies solle derSportartikel der in den Verfassungsentwurf zur EU-Verfassungeingearbeitet wurde, neu gestaltet werden, denn ""dieser löst dieProbleme nicht"", so Berger. Problematisch sei vor allem, dass dieserdas ""big business"", um das es sich im Fußball handle, nichtberücksichtige. Überdies müsse die Zulassung von Spielern ausDrittstaaten geregelt werden und auch ein sozialer Dialog zurSicherung von Spielerrechten sei notwendig.Zum Fahrplan des EU-Aktionsplans merkte Berger an, dass derzeit fünfAusschüsse (Sport, Wirtschaft, Beschäftigung, Binnenmarkt und Recht)zusammenarbeiten würden und man noch im Dezember eine einheitlicheLinie festlegen wolle. Im Frühjahr nächsten Jahres solle sich danndie Kommission mit der Materie beschäftigen. (Schluss) swRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖBergerEUSportFußballChannelPolitik"
"SP-Parteiführertreffen: Gusenbauer - ""Wirtschaftliche Leistungsfähigkeit kein Gegensatz zu sozialer Stabilität""","Beck ortet ""deutlich entwickelte Stimmung für SPÖ""",2006-08-25T12:57:08+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0142/sp-parteifuehrertreffen-gusenbauer-wirtschaftliche-leistungsfaehigkeit-kein-gegensatz-zu-sozialer-stabilitaet,"Beck ortet ""deutlich entwickelte Stimmung für SPÖ""Wien (SK) - ""Wirtschaftliche Leistungsfähigkeit ist kein Gegensatzzu sozialer Stabilität"", betonte SPÖ-Vorsitzender Alfred GusenbauerFreitagvormittag bei einer Pressekonferenz anlässlich des Treffensder zentraleuropäischen Parteiführer in Wien. So seien diewachstumsstärksten Ökonomien auch jene, in denen es hohe sozialeStabilität gibt, so Gusenbauer mit Blick auf die skandinavischenLänder. Die SPÖ lege weiters großen Wert auf einen breiten Meinungs-und Erfahrungsaustausch zwischen den sozialdemokratischen ParteienEuropas, so der SPÖ-Chef, der unterstrich, dass die Tagung derzentraleuropäischen Sozialdemokraten von einer ""guten bilateralenKooperation"" geprägt gewesen sei. Der SPD-Vorsitzende Kurt Beckortete eine ""deutlich entwickelte Stimmung für die SPÖ"" und betonteebenso wie Gusenbauer, dass Wirtschaftspolitik eine deutliche sozialeDimension haben müsse. ****Beim zentraleuropäischen Parteiführertreffen 2006 nahmen nebenGusenbauer und Beck weiters teil: der scheidende tschechischePremierminister Jiri Paroubek, der Vorsitzende der slowenischenSozialdemokraten Borut Pahor, sowie der Vorsitzende der ungarischenMSzP, Istvan Hiller. Er habe über die aktuelle politische Situationnach den Wahlen in Tschechien informiert sowie über die Gefahren derneuen Rechten gesprochen, so Jiri Paroubek, der ankündigte, mit denChristdemokraten in Koalitionsverhandlungen treten zu wollen. BorutPahor bezeichnete in seinem Statement anlässlich der gemeinsamenPressekonferenz die Sozialdemokratie als Kraft der Modernisierung,während Istvan Hiller die Konferenz als ""sehr erfolgreich und an derPraxis orientiert"" lobte.Gusenbauer - Wirtschaftliche Reformen müssen soziale BalancebeibehaltenWährend der heute, Freitag, zu Ende gegangenen Tagung habe manauch ausführlich darüber diskutiert, dass wirtschaftliche Reformendie soziale Balance beibehalten müssen, machte Gusenbauer klar.Weiters habe man intensiv über die politische Entwicklung inTschechien, Polen und Deutschland gesprochen, zudem hätten sich dieParteifreunde mit der Situation im Nahen Osten auseinandergesetzt. InFragen der Wirtschafts- und Sozialpolitik gelte es, ein Steuersystemzu haben, das wachstums- und beschäftigungsorientiert ist, so derSPÖ-Chef.Beck - ""Wirtschaftlichen Erfolg mit sozialer Dimensionverbinden""Für ihn stehe fest, dass ""wirtschaftlicher Erfolg auch mit einersozialen Dimension verbunden werden muss"", so SPD-Vorsitzender KurtBeck, der als ""Grundüberzeugung der Sozialdemokratie"" festhielt, dass""ökonomischer Erfolg und soziale Gerechtigkeit nichtauseinanderdividiert"" werden dürfen. Im Rahmen der kommendenEU-Präsidentschaft Deutschlands gelte es, darauf zu achten, dass derVerfassungsprozess ""nicht einschläft"". Der Verfassungsprozess bieteüberdies die Chance, die soziale Dimension zu betonen, so Beck, derdie Tagung der zentraleuropäischen Sozialdemokraten abschließend als""außerordentlich ergiebig"" lobte. (Schluss) mbRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖGusenbauerBeckParoubekParteientreffenSozialesChannelPolitik"
SPÖ zu Tierschutz: Regierung in Österreich und Europa säumig,"Wien (SK) - ""Auch wenn mit dem Bundestierschutzgesetz ein echter Meilenstein gesetzt werden konnte - es gibt noch immer viel zu tun und die zuständige Ministerin Rauch-Kallat ist säumig. Sie kümmert sich hier...",2006-08-25T12:05:07+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0114/spoe-zu-tierschutz-regierung-in-oesterreich-und-europa-saeumig,"Wien (SK) - ""Auch wenn mit dem Bundestierschutzgesetz ein echterMeilenstein gesetzt werden konnte - es gibt noch immer viel zu tunund die zuständige Ministerin Rauch-Kallat ist säumig. Sie kümmertsich hier überhaupt nicht"", so die Kritik von SPÖ-Umwelt- undTierschutzsprecher Jan Krainer am Freitag im Rahmen einer gemeinsamenPressekonferenz mit dem SPÖ-Europaabgeordneten Jörg Leichtfried.Leichtfried hielt kritisch fest, dass die österreichischeRatspräsidentschaft trotz vorheriger Ankündigungen den Tierschutzkaum thematisiert habe. ""Es war fürchterlich enttäuschend, wie wenigdie österreichische Regierung in dieser Zeit auf EU-Ebene getan hat"",so Leichtfried. ****Beim Bundestierschutzgesetz gibt es eine ganze Reihe vonProblemen, die von diesem Gesetz entweder gar nicht oder nurunzureichend geregelt werden. ""Einige Verordnungen zumBundestierschutzgesetz sind noch ausständig"", so Krainer, der auf dieChip-Verordnung für Hunde und Katzen verwies. ""Bei allen vier nochausstehenden Verordnungen ist Ministerin Rauch-Kallat säumig.""Weiters sei der Tierschutz immer noch nicht Teil der Verfassung. ""Icherwarte mir, dass das noch im heurigen Jahr von allen im Parlamentvertreten Parteien ermöglicht wird"", stellte Krainer fest.Überall wo die SPÖ in Regierungsverantwortung sei, gebe es eineReihe von vorbildhaften Einrichtungen und Maßnahmen im Sinne desTierschutzes. So verwies Krainer auf die Tierombudsperson in Wien,die budgetär gut ausgestattet und voll akzeptiert sei. Neben derForderung nach dem Tierschutz in der Verfassung tritt die SPÖ auchfür die Streichung der Subventionen von Tiertransporten auf. ""DieStreichung der Subventionen von Schlachttiertransporten hat zu einemdeutlichen Rückgang der Transporte und damit des Tierleids geführt"",betonte Krainer. Weitere Forderungen sind die Überarbeitung desTierversuchsgesetzes, das aus den 80er Jahren stammt, deutlicheVerbesserungen für Tiere in der Landwirtschaft, das Verbot desImports von Hunde- und Katzenfellen und der Tierschutzaktionsplan derEU. ""Vieles davon und Tierschutz an sich sind leider kein echtesAnliegen der Bundesregierung"", so Krainer.Leichtfried: Tierschutz muss als europäischer Grundwertanerkannt werdenDamit Tierschutzinitiativen auch entscheidende Erfolge nach sichziehen, seien Maßnahmen auf europäischer Ebene von großer Bedeutung,stellte Leichtfried fest. ""Deshalb war es fürchterlich enttäuschend,wie wenig die österreichische Regierung in dieser Zeit auf EU-Ebenegetan hat"", kritisierte Leichtfried die Ratspräsidentschaft, diegroßen Ankündigungen überhaupt keine Taten folgen habe lassen.Der Ausschuss für Internationalen Handel im EU-Parlament habe guteVorschläge ausgearbeitet, so Leichtfried, der auf Maßnahmen verwies,die eine Besteuerung bzw. Bemautung von Tiertransporten ermöglicheund die Anerkennung von Tierschutz als europäischen Grundwert nannte.""Mit diesem Schritt würde der Tierschutz über den vierGrundfreiheiten der Union stehen"", erläuterte Leichtfried. Auch habedie EU die Möglichkeit in einer Reihe von Verhandlungen die eigenenStandards international durchzusetzen. ""Obwohl es uns gelungen ist,eine Vielzahl von Vorschlägen und wichtigen Punkten durch denAusschuss zu bringen enttäuscht doch die Tatsache, dass dieeingebrachte Forderung nach Kürzung der höchstzulässigenTiertransporte von der konservativ-liberalen Mehrheit im EU-Parlamentabgelehnt wurde"", so Leichtfried abschließend. (Schluss) jsRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖKrainerLeichtfriedTierschutzChannelPolitik"
Audio-OTS von Alfred Gusenbauer auf www.spoe.at,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne von SPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unter http://www.spoe.at/jump.php?P=261 als Download zur Verfügung. Thema: ""Treffen der Zentraleuropäischen...",2006-08-25T11:58:51+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0112/audio-ots-von-alfred-gusenbauer-auf-wwwspoeat,"Wien (SK) - Der SPÖ-Pressedienst stellt in Kürze O-Töne vonSPÖ-Vorsitzendem Alfred Gusenbauer auf der SPÖ-Homepage unterhttp://www.spoe.at/jump.php?P=261als Download zur Verfügung. Thema:""Treffen der Zentraleuropäischen Sozialdemokraten"". **** (Schluss) mpRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖAudioGusenbauerChannelPolitik"
Darabos: ÖVP-Kampagne von erfolglosem Lindner-ORF abgekupfert,"Passender wäre ""Schüssel geht besser""",2006-08-25T11:51:19+02:00,https://www.ots.at/presseaussendung/OTS_20060825_OTS0108/darabos-oevp-kampagne-von-erfolglosem-lindner-orf-abgekupfert,"Passender wäre ""Schüssel geht besser""Wien (SK) - ""Schlicht vom Lindner-ORF abgekupfert ist die weniginnovative Plakatkampagne der ÖVP"", erklärteSPÖ-Bundesgeschäftsführer Norbert Darabos am Freitag gegenüber demSPÖ-Pressedienst. ""Unter dem Motto 'Alles bleibt besser' hat schonMonika Lindner erfolglos versucht, sinkenden Zuspruch derÖsterreicherinnen und Österreicher durch Werbung zu kaschieren"",erinnerte Darabos. ""Wolfgang Schüssel wird daher ebenfalls keinenErfolg haben. Auch von seinem Programm wenden sich immer mehrMenschen enttäuscht ab. Sie wollen einen Kurswechsel, stattberuhigende, schönfärbende Werbesprüchlein"", so Darabos, derabschließend meinte: ""Passender wäre der Slogan: 'Schüssel gehtbesser'."" ****(Schluss) upRückfragehinweis:Pressedienst der SPÖTel.: 01/53427-275http://www.spoe.atOTS-ORIGINALTEXT PRESSEAUSSENDUNG UNTER AUSSCHLIESSLICHER
INHALTLICHER VERANTWORTUNG DES AUSSENDERS - WWW.OTS.AT | SPKprintStichworteSPÖDarabosNR-WahlÖVPChannelPolitik"
